address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
2965 E Napoleon St,"Yard,Air Conditioning","6,000 SF",Sulphur,"Rental Rate,$14.40 /SF/YR,Rentable Building Area,6,000 SF,Property Type,Industrial,Year Built,2010,Property Subtype,Warehouse",,,1/11/2019,14838823,$1.20 SF/Mo,"Industrial development between Hwy 108 and Beglis Parkway. Easy access to East and West I-10 and Petro Community. Rocked-fenced laydown yard behind suite, reception, office, bath and insulated walls. Ceiling in warehouse 14', 12'x12' chain hoist roll up door. $200.00 monthly CAM.",Industrial,"1,500 SF",,"Industrial development between Hwy 108 and Beglis Parkway. Easy access to East and West I-10 and Petro Community. Rocked-fenced laydown yard behind suite, reception, office, bath and insulated walls. Ceiling in warehouse 14', 12'x12' chain hoist roll up door. $200.00 monthly CAM.",1 Space,LA,For Lease,Industrial,"[('Lake Charles Regional Airport', '26 min drive', '15.6 mi'), ('Port of Lake Charles', '18 min drive', '10.0 mi'), ('LAKE CHARLES HARBOR AND TERMINAL DISTRICT-LAKE CHA', '19 min drive', '10.3 mi')]","Lighting,Water - City Water,Sewer - City Sewer,Heating"
5100 Interstate Cir,Air Conditioning,"28,120 SF",Shreveport,"Rental Rate,$7.00 /SF/YR,Rentable Building Area,28,120 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse,Industrial Distribution",,,1/13/2020,4136016,$0.58 SF/Mo,"A distinctive office/service center plaza offering space for office, service, showroom and distribution facilities.  Tilt-wall construction. 10' ceilings.  10' x 10' overhead doors with grade and 2' high semi-docks. Heated warehouse, cooled large storage areas within office footprint.
OUTSIDE BROKERS RECEIVE FULL COMMISSION
Located near I-20 and Shreveport Regional Airport (SHV).",Industrial,"3,241 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,LA,For Lease,Industrial,"[('Shreveport Regional Airport', '9 min drive', '3.4 mi'), ('Port of Shreveport', '28 min drive', '19.0 mi'), ('MURPHY BONDED WAREHOUSE', '7 min drive', '3.1 mi')]","Lighting,Water,Sewer,Heating"
1920 St. Louis St,,"7,970 SF",New Orleans,"Rental Rate,$7.50 /SF/YR,Rentable Building Area,7,970 SF,Property Type,Industrial,Year Built,1959,Property Subtype,Warehouse",,,10/28/2019,17568559,$0.63 SF/Mo,"This 7,970 sf industrial warehouse is located at 1920 St. Louis Street at the junction of New Orleans’ quickly developing Lafitte Greenway and the I-10 expressway.  The property is highly visible from Interstate 10 and offers exciting opportunities for industrial use and Lafitte Greenway commercial exposure.  There is also potential to lease an approximately 4,100sf laydown yard located at the corner of St. Louis and N Roman Street.  The property boasts easy access to/from I- 10, with access at the Canal St. and Orleans Ave. exits. The property contains 1 large 18' roll-up door facing St. Louis St. and boasts 23' to 29' clear heights.",Industrial,"7,970 SF","Lease rate does not include utilities, property expenses or building services,The property boasts 23'-29' clear heights.,The warehouse contains 1 large 18' roll up door.,It is highly visible for the I-10 expressway.","This 7,970 sf industrial warehouse is located at 1920 St Louis Street at the junction of New Orleans' quickly developing Lafitte Greenway and the I-10 expressway.  The property is highly visible from Interstate 10 and offers exciting opportunities for industrial use and Lafitte Greenway commercial exposure.",1 Space,LA,For Lease,Industrial,,
11401 Industriplex Blvd,Signage,"42,378 SF",Baton Rouge,"Rental Rate,$7.75 /SF/YR,Rentable Building Area,42,378 SF,Property Type,Industrial,Year Built,1998,Property Subtype,Warehouse",,,9/25/2018,7217864,$0.65 SF/Mo,NNN approximately $1.82,Industrial,"9,771 - 22,590 SF","Lease rate does not include utilities, property expenses or building services,Can be combined with additional space(s) for up to 22,590 SF of adjacent space,Lease rate does not include utilities, property expenses or building services,Can be combined with additional space(s) for up to 22,590 SF of adjacent space","Immediately Available,Immediately Available",2 Spaces,LA,For Lease,Industrial,"[('Baton Rouge Metropolitan-Ryan Field Airport', '21 min drive', '12.6 mi'), ('Port of Greater Baton Rouge', '18 min drive', '12.2 mi'), ('AGWAY SYSTEMS INC.', '26 min drive', '19.6 mi')]",
2929 Highway 90 E,,"5,456 SF",Broussard,"Rental Rate,$5.17 /SF/YR,Rentable Building Area,5,456 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse,General Retail Freestanding,Showroom","Natural Gas,City Water",,6/29/2017,7906811,$0.43 SF/Mo,"Office-Warehouse Commercial building for lease is located at 2929 Hwy 90 East in Broussard. Total square footage of sales floor, offices and warehouse is 5456 square feet. First floor offices and sales floor area is 1600 heated square feet, 2nd floor office area is 1040 heated square feet, and the warehouse is 2816 square feet. The office space on both floors are mostly open, suitable for any type of tenant. The warehouse contains a small shop office, heaters, fans, and dome lighting throughout. It has minimum eave heights of 14 feet with a peak ceiling height of 20 feet. The warehouse has a 15' x 18' grade level door and can be easily accessed from Garber Road. A minimum of a 3 year lease will be required with a monthly lease payment of $2,350. A $2,350 security deposit is required. Tenant is responsible for garbage service, all utilities, and lawn care. US Highway 90 is THE INDUSTRIAL CORRIDOR connecting to Interstate 10 and to the Coast of Louisiana. The ""Who's Who"" of the energy sector that have locations in the Acadiana region are located along this stretch of highway. Please respond to this ad via email, leaving a NAME and PHONE NUMBER and/or a CURRENT EMAIL ADDRESS, to schedule a showing or to request additional information. Or you may call 318-two43-seven964. If no answer, please leave a message.
An average of over 50,000 pass this site daily!",Industrial,"5,456 SF","Lease rate does not include property expenses,Includes 2,640 SF of dedicated office space","""3 months FREE"" * 
* Month 2 of each year is ""rent free"" to a qualified tenant. Minimum 3 year lease.",1 Space,LA,For Lease,Flex,,
2110 W Thomas St,,"24,000 SF",Hammond,"Rental Rate,$6.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,12,000 SF,Rentable Building Area,24,000 SF,Property Type,Industrial,Year Built,2012",,,5/9/2018,12515956,$0.54 SF/Mo,"Industrial building located in Hammond, LA.",Industrial,"12,000 - 24,000 SF","Listed rate may not include certain utilities, building services and property expenses",Industrial space available for lease.,1 Space,LA,For Lease,Industrial,"[('Port of Greater Baton Rouge', '58 min drive', '48.5 mi'), ('PORT MANCHAC DISTRIBUTION CENTER', '11 min drive', '6.3 mi')]",
5201-5203 Interstate Dr,,"43,700 SF",Shreveport,"Rental Rate,$5.00 /SF/YR,Rentable Building Area,43,700 SF,Property Type,Industrial,Year Built,1972,Property Subtype,Warehouse",,,10/5/2018,13151861,$0.42 SF/Mo,,Industrial,"3,975 - 8,496 SF","Lease rate does not include utilities, property expenses or building services,Can be combined with additional space(s) for up to 8,496 SF of adjacent space,Includes 820 SF of dedicated office space,Lease rate does not include utilities, property expenses or building services,Can be combined with additional space(s) for up to 8,496 SF of adjacent space",,2 Spaces,LA,For Lease,Industrial,,
6615 Tributary St,,"65,860 SF",Baltimore,"Property Type,Industrial,Year Built,1988,Property Subtype,Warehouse,Cross Streets,St,Rentable Building Area,65,860 SF",,,5/3/2019,3965648,Rent Upon Request,"Space 1 - 28,200 SF, Divisible to 4,800 SF 
Space 2 - 4,200 SF with 1,200 SF Office
Space 3 - 4,200 SF with 1,200 SF Office
.",Industrial,"12,460 SF","Includes 2,500 SF of dedicated office space",,1 Space,MD,For Lease,Industrial,"[('Penn Station Commuter Rail (Penn Line)', '21 min drive', '7.1 mi'), ('Camden Station Commuter Rail (Camden Line)', '16 min drive', '7.7 mi'), ('Baltimore-Washington International Airport', '28 min drive', '15.4 mi'), ('Port of Baltimore', '14 min drive', '5.9 mi'), ('Terminal Corporation, The', '7 min drive', '2.3 mi')]",Heating - Gas
1506 Quarry Dr,,"94,832 SF",Edgewood,"Min. Divisible,14,770 SF,Rentable Building Area,94,832 SF,Property Type,Industrial,Year Built,2001,Property Subtype,Warehouse",,,1/8/2016,12851017,Rent Upon Request,,Industrial,"14,770 - 46,920 SF","Includes 12,000 SF of dedicated office space,8 Loading Docks,1 Drive In Bay",,1 Space,MD,For Lease,Industrial,"[('Edgewood Commuter Rail (Penn Line)', '9 min drive', '3.0 mi'), ('Baltimore-Washington International Airport', '50 min drive', '32.5 mi'), ('Port of Baltimore', '37 min drive', '23.9 mi'), ('Universal Distribution Services, Incorporated', '36 min drive', '21.9 mi')]",
8210-8214 Wellmoor Ct,,"108,480 SF",Jessup,"Property Type,Industrial,Year Built,1975,Property Subtype,Warehouse,Cross Streets,Stayton Dr,Rentable Building Area,108,480 SF",,,8/5/2019,16819640,Rent Upon Request,Entire property available for lease!,Industrial,"108,480 SF",Sublease space available from current tenant,,1 Space,MD,For Lease,Industrial,"[('Jessup Commuter Rail (Camden Line)', '7 min drive', '2.3 mi'), ('Savage Commuter Rail (Camden Line)', '7 min drive', '2.7 mi'), ('Baltimore-Washington International Airport', '21 min drive', '13.1 mi'), ('Ronald Reagan Washington National Airport', '50 min drive', '30.5 mi'), ('Port of Baltimore', '25 min drive', '16.0 mi'), ('Fritz Company', '16 min drive', '8.3 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
8925 McGaw Ct,,"69,810 SF",Columbia,"Min. Divisible,6,118 SF,Rentable Building Area,69,810 SF,Property Type,Industrial,Year Built,1974,Property Subtype,Warehouse",,,3/12/2020,18838736,Rent Upon Request,,Industrial,"6,118 - 69,810 SF","2 Drive Ins,11 Loading Docks",,1 Space,MD,For Lease,Industrial,"[('Jessup Commuter Rail (Camden Line)', '10 min drive', '4.9 mi'), ('Dorsey Commuter Rail (Camden Line)', '12 min drive', '6.0 mi'), ('Baltimore-Washington International Airport', '21 min drive', '13.5 mi'), ('Ronald Reagan Washington National Airport', '54 min drive', '32.7 mi'), ('Port of Baltimore', '26 min drive', '16.3 mi'), ('Fritz Company', '16 min drive', '9.5 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
601 Ruthsburg Rd,,"22,800 SF",Centreville,"Rental Rate,$5.00 /SF/YR,Rentable Building Area,22,800 SF,Property Type,Industrial,Year Built,1969,Property Subtype,Warehouse,Industrial Manufacturing","*Warehouse Distribution Facility for Lease - $5.00 per sq.ft. NNN,*Very easy access on and off Rt. 301 at the new interchange,*All equipment to be removed.,*22,800 sq.ft. total on 7.91 Acres,*Serves the Eastern Shore of Maryland, East Cost Mid-Atlantic Region & Lower Delaware",,4/17/2017,6807419,$0.42 SF/Mo,"For lease warehouse distribution facility. Property offers 3 phase, 480 volt electric. 22,000 sq.ft. metal and masonry constructed building on poured 6"" concrete. Add'l 6,000 sq.ft. under-roof storage. Warehouse is 100 x 200 with 3 tone and 1 1/2 ton travel cranes. 22' peak ceiling height. Approximately 2,000 sq.ft. office (2 floors) and 2,000 sq.ft. showroom. Easy access on and off Rt. 301 at the new interchange. Serves Maryland, Mid Upper Shore, Delaware- Dover to Philadelphia. Lease rate of $5.00 per sq.ft. NNN",Industrial,"22,800 SF","Lease rate does not include utilities, property expenses or building services","For lease warehouse distribution clear space. Overhead cranes cross run the length of the facility. Easy access on and off Rt. 301. New interchange. Serves Maryland, Mid Upper Shore, Delaware- Dover to Philadelphia. As part of the SVN Difference, SVN Miller will offer a referral fee to any agent with a client need outside of their specialty.",1 Space,MD,For Lease,Industrial,"[('Port of Baltimore', '76 min drive', '49.9 mi'), ('PATAPSCO AND BACK RIVERS RAILROAD CO.-BALTIMORE-MD', '85 min drive', '56.3 mi')]",
10900 Hopewell Rd,Air Conditioning,"650,000 SF",Williamsport,"Property Type,Industrial,Year Built,2022,Property Subtype,Warehouse,Construction Status,Proposed,Rentable Building Area,650,000 SF",,,1/22/2018,11330521,Rent Upon Request,"• 1.3 miles to I-70E, 1.5 miles to I-70W
• 1.5 miles to I-81S, 3.0 miles to I-81N
• CSX rail served
• Reforestation requirement met with
separate ~9 acre parcel
• No wetlands on site
• Utilities to site
• Washington County has expressed an interest in
providing one or more TIFs for potential
infrastructure improvements.
Property details
750,400 s.f.",Industrial,"650,000 SF","New space, never previously occupied,Space is in Excellent Condition,Lease rate does not include certain property expenses",,1 Space,MD,For Lease,Industrial,,
