address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
155 Rumery St,,"75,840 SF",South Portland,"Rental Rate,$4.95 /SF/YR,Rentable Building Area,75,840 SF,Property Type,Industrial,Year Built,1967,Property Subtype,Warehouse",6/6/2017,4382449,$0.41 SF/Mo,Industrial,"28,800 SF",1 Space,ME,For Lease,Industrial,,
60 Hutcherson Dr,,"42,000 SF",Gorham,"Rental Rate,$7.00 /SF/YR,Rentable Building Area,42,000 SF,Property Type,Industrial,Year Built,2021,Property Subtype,Warehouse,Construction Status,Proposed",6/19/2017,7743197,$0.58 SF/Mo,Industrial,"42,000 SF",1 Space,ME,For Lease,Flex,,
50 Hampden Rd,Fluorescent Lighting,"204,151 SF",Mansfield,"Rental Rate,$5.75 - $6.50 /SF/YR,Rentable Building Area,204,151 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Warehouse",11/15/2018,4073191,$0.48 - $0.54 SF/Mo,Industrial,"30,078 - 134,778 SF",2 Spaces,MA,For Lease,Industrial,"[('Mansfield Commuter Rail (Providence/Stoughton, Foxboro (Special Events Only) Lines)', '7 min drive', '2.2 mi'), ('Foxboro (Special Events Only) Commuter Rail (Foxboro (Special Events Only) Line)', '15 min drive', '6.5 mi'), ('T. F. Green Airport', '52 min drive', '32.6 mi'), ('Logan International Airport', '52 min drive', '34.9 mi'), ('Port of Boston', '49 min drive', '32.8 mi'), ('ADVANCE WAREHOUSES, INC.-MANSFIELD-MA', '8 min drive', '2.8 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
1123 Pearl St,Fenced Lot,"95,290 SF",Brockton,"Min. Divisible,47,300 SF,Rentable Building Area,95,290 SF,Property Type,Industrial,Year Built/Renovated,1968/1977,Property Subtype,Warehouse,Cross Streets,Chestnut St",11/26/2018,14480069,Rent Upon Request,Industrial,"47,300 - 59,300 SF",1 Space,MA,For Lease,Industrial,"[('Campello Commuter Rail (Middleborough/Lakeville Line)', '9 min drive', '3.7 mi'), ('Brockton Commuter Rail (Middleborough/Lakeville Line)', '10 min drive', '4.1 mi'), ('Logan International Airport', '41 min drive', '27.3 mi'), ('T. F. Green Airport', '66 min drive', '38.1 mi'), ('Port of Boston', '38 min drive', '25.2 mi'), ('DELTA BULK TRANSPORT-WEST BRIDGEWATER-MA', '5 min drive', '2.3 mi')]","Gas,Water,Sewer"
32 Scotland Blvd,,"40,000 SF",Bridgewater,"Property Type,Industrial,Year Built,1984,Property Subtype,Manufacturing,Industrial Warehouse,Cross Streets,Pleasant St,Rentable Building Area,40,000 SF",11/8/2019,4059147,Rent Upon Request,Industrial,"2,500 SF",1 Space,MA,For Lease,Industrial,"[('Bridgewater Commuter Rail (Middleborough/Lakeville Line)', '11 min drive', '3.7 mi'), ('Campello Commuter Rail (Middleborough/Lakeville Line)', '16 min drive', '7.5 mi'), ('Logan International Airport', '50 min drive', '34.6 mi'), ('T. F. Green Airport', '62 min drive', '36.4 mi'), ('Port of New Bedford Harbor', '40 min drive', '28.7 mi'), ('DELTA BULK TRANSPORT-WEST BRIDGEWATER-MA', '13 min drive', '6.7 mi')]",Heating - Gas
69 Tenean St,Fenced Lot,"8,800 SF",Dorchester,"Rental Rate,$26.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,400 SF,Rentable Building Area,8,800 SF,Property Type,Industrial,Year Built,1950",7/14/2018,4900667,$2.17 SF/Mo,Industrial,"1,400 - 8,800 SF",1 Space,MA,For Lease,Industrial,"[('Morton Street Commuter Rail (Fairmount Line)', '6 min drive', '3.2 mi'), ('JFK/UMASS Commuter Rail (Middleborough/Lakeville, Greenbush, Kingston/Plymouth Lines)', '7 min drive', '3.5 mi'), ('Logan International Airport', '16 min drive', '7.4 mi'), ('Port of Boston', '13 min drive', '5.3 mi'), ('MAPLE LEAF DISTRIBUTION SERVICES INC-BONDSVILLE-MA', '9 min drive', '3.9 mi')]",
22 Town Farm Rd,Air Conditioning,"268,000 SF",Westford,"Rental Rate,$4.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,35,000 SF,Rentable Building Area,268,000 SF,Property Type,Industrial,Year Built,1967",2/7/2018,11517695,$0.38 SF/Mo,Industrial,"35,000 - 82,000 SF",1 Space,MA,For Lease,Industrial,"[('Littleton/Route 495 Commuter Rail (Fitchburg/South Acton Line)', '17 min drive', '7.0 mi'), ('Ayer Commuter Rail (Fitchburg/South Acton Line)', '18 min drive', '7.4 mi'), ('Manchester–Boston Regional Airport', '49 min drive', '30.2 mi'), ('Logan International Airport', '58 min drive', '35.5 mi'), ('Port of Boston', '59 min drive', '35.0 mi'), ('Martin Brower', '13 min drive', '5.1 mi')]","Water - City Water,Sewer - Septic Field,Heating"
95 Woodrock Rd,Fenced Lot,"16,000 SF",Weymouth,"Property Type,Industrial,Rentable Building Area,16,000 SF,Property Subtype,Warehouse,Year Built,1970",9/27/2018,13897224,Rent Upon Request,Industrial,"4,000 SF",1 Space,MA,For Lease,Industrial,"[('East Weymouth Commuter Rail (Greenbush Line)', '6 min drive', '2.2 mi'), ('Weymouth Landing/ East Braintree Commuter Rail (Greenbush Line)', '7 min drive', '3.6 mi'), ('Logan International Airport', '32 min drive', '19.2 mi'), ('Port of Boston', '29 min drive', '17.1 mi'), ('NS-RANDOLPH-MA-ONE KELLAW', '15 min drive', '7.3 mi')]",
440 William F McClellan Hwy,,"121,792 SF",East Boston,"Property Type,Industrial,Rentable Building Area,121,792 SF,Property Subtype,Warehouse,Year Built/Renovated,1976/2005",1/23/2020,15969901,Rent Upon Request,Industrial,"400 - 4,045 SF",4 Spaces,MA,For Lease,Office,"[('Orient Heights Station', '15 min walk', '0.8 mi'), ('Chelsea Commuter Rail (Newburyport/Rockport Line)', '7 min drive', '2.5 mi'), ('North Station Commuter Rail (Lowell, Fitchburg/South Acton, Newburyport/Rockport, Haverhill Lines)', '8 min drive', '4.1 mi'), ('Logan International Airport', '7 min drive', '2.7 mi'), ('Port of Boston', '11 min drive', '4.5 mi'), ('Mystic Storage & Distribution', '11 min drive', '6.1 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Electric"
35 E Main St,,"49,572 SF",Middleboro,"Property Type,Industrial,Rentable Building Area,49,572 SF,Property Subtype,Warehouse,Year Built,1965",10/29/2019,17580067,Rent Upon Request,Industrial,"6,000 SF",1 Space,MA,For Lease,Office,"[('Middleborough/Lakeville Commuter Rail (Middleborough/Lakeville Line)', '6 min drive', '2.2 mi'), ('T. F. Green Airport', '65 min drive', '38.2 mi'), ('Port of New Bedford Harbor', '35 min drive', '21.6 mi'), ('VENTURA GRAIN CO.-TAUNTON', '17 min drive', '10.0 mi')]",
833 Green Leaf Dr,,"22,519 SF",Harvey,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,22,519 SF,Property Type,Industrial,Year Built,2007,Property Subtype,Warehouse",2/28/2020,18681940,$0.75 SF/Mo,Industrial,"3,000 - 9,000 SF",2 Spaces,LA,For Lease,Industrial,"[('Louis Armstrong New Orleans International Airport', '31 min drive', '20.4 mi'), ('Port of New Orleans', '15 min drive', '6.5 mi'), ('HAYES DOCKSIDE, INC.-NEW ORLEANS-LA', '19 min drive', '7.1 mi')]",
424 Main St,,"40,000 SF",Cherry Valley,"Rental Rate,$7.50 /SF/YR,Rentable Building Area,40,000 SF,Property Type,Industrial,Year Built,2000,Property Subtype,Warehouse",1/22/2020,18287601,$0.63 SF/Mo,Industrial,"15,000 SF",1 Space,MA,For Lease,Industrial,,
803 Main St,,"9,000 SF",Leicester,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,9,000 SF,Property Type,Industrial,Year Built/Renovated,1972/1999,Property Subtype,Warehouse",1/30/2020,18346296,$1.00 SF/Mo,Industrial,"2,700 SF",1 Space,MA,For Lease,Office,"[('Worcester Commuter Rail (Framingham/Worcester Line)', '10 min drive', '6.2 mi'), ('Port of Boston', '70 min drive', '50.8 mi'), ('A&D Cold Storage', '9 min drive', '5.4 mi')]",
11 Alpha Rd,,"40,000 SF",Chelmsford,"Rental Rate,$7.75 /SF/YR,Rentable Building Area,40,000 SF,Property Type,Industrial,Year Built/Renovated,1964/1982,Property Subtype,Warehouse",2/5/2020,18414674,$0.65 SF/Mo,Industrial,"24,650 SF",1 Space,MA,For Lease,Industrial,"[('North Billerica Commuter Rail (Lowell Line)', '8 min drive', '2.9 mi'), ('Lowell Commuter Rail (Lowell Line)', '10 min drive', '4.7 mi'), ('Logan International Airport', '45 min drive', '26.7 mi'), ('Manchester–Boston Regional Airport', '48 min drive', '32.3 mi'), ('Port of Boston', '46 min drive', '26.3 mi'), ('GUILFORD RAIL SYSTEM-N. BILLERICA-MA-HIGH STREE', '10 min drive', '3.9 mi')]",
48 Waters Ave,,"20,000 SF",Everett,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,20,000 SF,Property Type,Industrial,Year Built,1938,Property Subtype,Warehouse",2/7/2020,18449843,$1.50 SF/Mo,Industrial,"18,000 SF",1 Space,MA,For Lease,Industrial,"[('Malden Center Commuter Rail (Haverhill Line)', '5 min drive', '1.8 mi'), ('Chelsea Commuter Rail (Newburyport/Rockport Line)', '6 min drive', '2.2 mi'), ('Logan International Airport', '12 min drive', '6.6 mi'), ('Port of Boston', '13 min drive', '6.4 mi'), ('Mystic Storage & Distribution', '6 min drive', '2.8 mi')]",
203 Flanders Rd,,"33,820 SF",Westborough,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,33,820 SF,Property Type,Industrial,Year Built,1982,Property Subtype,Warehouse",2/27/2020,18664071,$0.54 SF/Mo,Industrial,"33,820 SF",1 Space,MA,For Lease,Industrial,"[('Southborough Commuter Rail (Framingham/Worcester Line)', '5 min drive', '2.0 mi'), ('Ashland Commuter Rail (Framingham/Worcester Line)', '11 min drive', '4.7 mi'), ('Logan International Airport', '48 min drive', '33.1 mi'), ('Port of Boston', '46 min drive', '31.4 mi'), ('BAY COLONY RAILROAD CORPORATION-YARMOUTH-MA', '21 min drive', '10.5 mi')]","Gas,Water - City Water,Sewer - Septic Field"
21 Spencer St,,"6,000 SF",Stoneham,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,6,000 SF,Property Type,Industrial,Year Built,1948,Property Subtype,Warehouse",3/5/2020,18760424,$1.25 SF/Mo,Industrial,"6,000 SF",1 Space,MA,For Lease,Flex,"[('Melrose Highlands Commuter Rail (Haverhill Line)', '4 min drive', '1.9 mi'), ('Greenwood Commuter Rail (Haverhill Line)', '5 min drive', '2.2 mi')]",
145 Newton St,"Raised Floor,Storage Space","13,587 SF",Waltham,"Rental Rate,$20.75 /SF/YR,Rentable Building Area,13,587 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",3/6/2020,18773918,$1.73 SF/Mo,Industrial,"2,159 SF",1 Space,MA,For Lease,Industrial,"[('Waltham Commuter Rail (Fitchburg/South Acton Line)', '8 min walk', '0.4 mi'), ('Brandeis/Roberts Commuter Rail (Fitchburg/South Acton Line)', '6 min drive', '2.4 mi'), ('Logan International Airport', '25 min drive', '13.7 mi'), ('Port of Boston', '23 min drive', '12.0 mi'), ('TRANSFLO-ALLSTON-MA', '13 min drive', '6.3 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
109 Industrial Ave E,"Fenced Lot,Mezzanine,Yard","29,228 SF",Lowell,"Rental Rate,$12.75 /SF/YR,Rentable Building Area,29,228 SF,Property Type,Industrial,Year Built/Renovated,1962/1976,Property Subtype,Warehouse,Cross Streets,Swan St",3/9/2020,18800056,$1.06 SF/Mo,Industrial,"3,200 SF",1 Space,MA,For Lease,Industrial,"[('Lowell Commuter Rail (Lowell Line)', '5 min drive', '2.3 mi'), ('North Billerica Commuter Rail (Lowell Line)', '8 min drive', '3.4 mi'), ('Manchester–Boston Regional Airport', '45 min drive', '30.3 mi'), ('Logan International Airport', '45 min drive', '34.2 mi'), ('Port of Boston', '46 min drive', '33.7 mi'), ('GUILFORD RAIL SYSTEM-N. BILLERICA-MA-HIGH STREE', '8 min drive', '4.3 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
