address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
7000 Counts Massie Rd,,"35,000 SF",Maumelle,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,35,000 SF,Min. Divisible,3,000 SF,Year Built,2021,Property Type,Industrial,Construction Status,Proposed,Property Subtype,Warehouse",4/28/2009,4148436,$0.54 SF/Mo,Industrial,"3,000 - 35,000 SF",1 Space,AR,For Lease,Industrial,"[('Clinton National Airport', '24 min drive', '16.0 mi'), ('Port of Shreveport', '262 min drive', '229.6 mi'), ('UP-NORTH LITTLE ROCK-AR', '20 min drive', '14.1 mi')]",
2395-2525 W 4th Ave,"Skylights,Yard,Fluorescent Lighting","325,858 SF",Denver,"Rental Rate,$6.95 /SF/YR,Rentable Building Area,325,858 SF,Property Type,Industrial,Year Built,1964,Property Subtype,Warehouse,Cross Streets,Bryant St",11/7/2019,4075423,$0.58 SF/Mo,Industrial,"33,740 SF",1 Space,CO,For Lease,Industrial,"[('Denver International Airport', '48 min drive', '28.2 mi'), ('Port of Shreveport', '1,094 min drive', '988.4 mi'), ('NU STEEL SUPPLY, INC.-DENVER-CO-DENVER-CO', '4 min drive', '1.0 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
14135 E 42nd Ave,,"160,236 SF",Denver,"Rental Rate,$8.25 /SF/YR,Rentable Building Area,160,236 SF,Property Type,Industrial,Year Built,1998,Property Subtype,Manufacturing,Industrial Warehouse",3/2/2020,4075534,$0.69 SF/Mo,Industrial,"9,200 SF",1 Space,CO,For Lease,Industrial,"[('Denver International Airport', '31 min drive', '14.4 mi'), ('Port of Shreveport', '1,099 min drive', '992.1 mi'), ('ACME DISTRIBUTION CENTER, INC.-AURORA-CO', '13 min drive', '6.7 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating"
18000 E 22nd Ave,"Fenced Lot,Floor Drains,Property Manager on Site","45,600 SF",Aurora,"Min. Divisible,15,000 SF,Rentable Building Area,45,600 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",8/29/2018,13633684,Rent Upon Request,Industrial,"15,000 - 45,600 SF",1 Space,CO,For Lease,Industrial,"[('Denver International Airport', '28 min drive', '14.3 mi'), ('Port of Shreveport', '1,099 min drive', '991.7 mi'), ('ACME DISTRIBUTION CENTER, INC.-AURORA-CO', '4 min drive', '1.2 mi')]",
12790 E 38th Ave,"Fenced Lot,Skylights","80,000 SF",Denver,"Rental Rate,$4.95 /SF/YR,Rentable Building Area,80,000 SF,Min. Divisible,40,000 SF,Year Built,1974,Property Type,Industrial,Cross Streets,Troy St,Property Subtype,Warehouse",5/29/2019,16183804,$0.41 SF/Mo,Industrial,"40,000 - 80,000 SF",1 Space,CO,For Lease,Industrial,"[('Denver International Airport', '30 min drive', '16.1 mi'), ('Port of Shreveport', '1,098 min drive', '991.9 mi'), ('ACME DISTRIBUTION CENTER, INC.-AURORA-CO', '12 min drive', '6.4 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating"
7180 W 117th Ave,,"25,636 SF",Broomfield,"Rental Rate,$8.82 /SF/YR,Rentable Building Area,25,636 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse,Cross Streets,Teller St",1/31/2020,18365208,$0.74 SF/Mo,Industrial,"1,361 SF",1 Space,CO,For Lease,Office,"[('Denver International Airport', '50 min drive', '35.0 mi'), ('Port of Shreveport', '1,114 min drive', '1,003.8 mi'), ('DON WARD TRANSPORT, INC.-DENVER-CO', '18 min drive', '11.2 mi')]",
2200 N Frwy Rd,Fenced Lot,"59,473 SF",Pueblo,"Rental Rate,$4.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,45,000 SF,Rentable Building Area,59,473 SF,Property Type,Industrial,Year Built,1964",8/30/2019,4319772,$0.33 SF/Mo,Industrial,"45,000 - 55,000 SF",1 Space,CO,For Lease,Industrial,"[('Port of Shreveport', '978 min drive', '880.0 mi'), ('FRONT RANGE RELOAD-DENVER-CO', '122 min drive', '107.8 mi')]",
1205 S Platte River Dr,,"40,594 SF",Denver,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,40,594 SF,Property Type,Industrial,Year Built,1958,Property Subtype,Warehouse",4/29/2019,9828033,$1.25 SF/Mo,Industrial,"3,100 SF",1 Space,CO,For Lease,Office,"[('Denver International Airport', '49 min drive', '30.5 mi'), ('Port of Shreveport', '1,091 min drive', '986.8 mi'), ('FRONT RANGE RELOAD-DENVER-CO', '5 min drive', '1.9 mi')]","Lighting,Gas,Water,Sewer,Heating"
4000 W 50th Ave,,"60,349 SF",Anchorage,"Rental Rate,$13.20 /SF/YR,Property Subtype,Warehouse,Min. Divisible,2,320 SF,Rentable Building Area,60,349 SF,Property Type,Industrial,Year Built,1979",3/27/2019,4157116,$1.10 SF/Mo,Industrial,"2,320 - 17,858 SF",1 Space,AK,For Lease,Industrial,"[('Ted Stevens Anchorage International Airport', '5 min drive', '1.1 mi'), ('Port of Anchorage', '15 min drive', '8.0 mi'), ('ALASKA RAILROAD-ANCHORAGE-AK-327 WEST S', '11 min drive', '6.9 mi')]",
6350 Arctic Blvd,,"18,000 SF",Anchorage,"Rental Rate,$14.40 /SF/YR,Rentable Building Area,18,000 SF,Property Type,Industrial,Year Built,1975,Property Subtype,Warehouse",12/11/2019,17939247,$1.20 SF/Mo,Industrial,"18,000 SF",1 Space,AK,For Lease,Industrial,"[('Ted Stevens Anchorage International Airport', '7 min drive', '3.8 mi'), ('Port of Anchorage', '12 min drive', '5.9 mi'), ('ALASKA RAILROAD-ANCHORAGE-AK-327 WEST S', '8 min drive', '4.8 mi')]",
