address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
1265 Ridge Rd,,"18,875 SF",Pottstown,"Property Type,Industrial,Rentable Building Area,18,875 SF,Property Subtype,Warehouse,Year Built,1973",4/9/2020,19168933,Rent Upon Request,Industrial,"18,875 SF",1 Space,PA,For Lease,Industrial,"[('Reading Regional-Carl A. Spaatz Field Airport', '45 min drive', '26.3 mi'), ('Port of Wilmington, RI', '64 min drive', '37.9 mi'), ('NS INDEPENDENT BULK TRANSFER TERMINAL-FRAZER-PA', '26 min drive', '13.9 mi')]",
140 Concord Rd,Air Conditioning,"72,000 SF",Aston,"Rental Rate,$8.75 /SF/YR,Property Subtype,Warehouse,Min. Divisible,20,000 SF,Rentable Building Area,72,000 SF,Property Type,Industrial,Year Built,2020",1/14/2019,14863336,$0.73 SF/Mo,Industrial,"20,000 - 72,000 SF",1 Space,PA,For Lease,Industrial,,"Lighting,Gas - Natural,Water - County Water,Sewer - County Sewer,Heating - Gas"
700 Packer Ave,,"120,218 SF",Philadelphia,"Property Type,Industrial,Rentable Building Area,120,218 SF,Property Subtype,Warehouse,Year Built,1950",2/14/2019,15175589,Rent Upon Request,Industrial,"6,000 SF",1 Space,PA,For Lease,Industrial,"[('Pattison Transit Stop', '18 min walk', '0.9 mi'), ('Oregon Transit Stop', '18 min walk', '0.9 mi'), ('Philadelphia 30th Street Commuter Rail (Atlantic City Line)', '9 min drive', '5.4 mi'), ('Cherry Hill Commuter Rail (Atlantic City Line)', '16 min drive', '8.9 mi'), ('Philadelphia International Airport', '16 min drive', '7.8 mi'), ('New Castle County Airport', '48 min drive', '33.0 mi'), ('South Jersey Port', '12 min drive', '6.7 mi'), ('Infinity Logistics', '2 min drive', '0.6 mi')]","Water - City Water,Sewer - City Sewer"
1081 3rd St,,"9,489 SF",North Versailles,"Rental Rate,$8.46 /SF/YR,Rentable Building Area,9,489 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",3/13/2019,15431616,$0.71 SF/Mo,Industrial,"3,993 SF",1 Space,PA,For Lease,Industrial,"[('Pittsburgh International Airport', '45 min drive', '30.3 mi'), ('Port of Baltimore', '269 min drive', '231.8 mi'), ('NS-PITTSBURGH-PA', '8 min drive', '4.3 mi')]",
725 Pellis Rd,,"9,600 SF",Greensburg,"Rental Rate,$6.00 - $12.00 /SF/YR,Property Subtype,Warehouse,Industrial Manufacturing,Property Type,Industrial,Rentable Building Area,9,600 SF",11/16/2018,4233760,$0.50 - $1.00 SF/Mo,Industrial,"1,500 - 4,700 SF",2 Spaces,PA,For Lease,"Office/Retail, Industrial","[('Port of Baltimore', '262 min drive', '222.8 mi'), ('NS-TRAFFORD-PA-19 FORBES R', '30 min drive', '15.8 mi')]",
1500 Randall Ct,,"100,000 SF",Export,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,100,000 SF,Property Type,Industrial,Construction Status,Proposed,Property Subtype,Warehouse",3/11/2020,8220572,$0.67 SF/Mo,Industrial,"25,000 SF",1 Space,PA,For Lease,Industrial,"[('Port of Baltimore', '272 min drive', '232.1 mi'), ('NS-TRAFFORD-PA-19 FORBES R', '21 min drive', '11.1 mi')]","Lighting,Gas,Water,Sewer,Heating"
2700 Cumberland St,,"30,000 SF",Lebanon,"Rental Rate,$4.30 /SF/YR,Property Subtype,Warehouse,Min. Divisible,5,070 SF,Rentable Building Area,30,000 SF,Property Type,Industrial,Year Built,1971",11/1/2017,11072615,$0.36 SF/Mo,Industrial,"5,070 - 30,000 SF",1 Space,PA,For Lease,Industrial,"[('Harrisburg International Airport', '42 min drive', '26.6 mi'), ('Reading Regional-Carl A. Spaatz Field Airport', '52 min drive', '31.5 mi'), ('Port of Wilmington, RI', '116 min drive', '84.5 mi'), ('NS INDEPENDENT BULK TRANSFER TERMINAL-PALMYRA-PA', '14 min drive', '7.8 mi')]",
341 Chestnut St,Air Conditioning,"17,132 SF",Columbia,"Rental Rate,$6.72 /SF/YR,Rentable Building Area,17,132 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",4/7/2020,13828421,$0.56 SF/Mo,Industrial,"5,000 SF",1 Space,PA,For Lease,Industrial,"[('Harrisburg International Airport', '38 min drive', '21.3 mi'), ('Port of Baltimore', '96 min drive', '68.1 mi'), ('Purina Mills, Inc.', '12 min drive', '6.7 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
171 Technology Dr,"Bio-Tech/ Lab Space,Air Conditioning","83,767 SF",Boalsburg,"Rental Rate,$12.00 - $15.00 /SF/YR,Property Subtype,Warehouse,Total Space Available,15,671 SF,Rentable Building Area,83,767 SF,Max. Contiguous,12,176 SF,Year Built,1960,Property Type,Industrial",1/17/2020,15670170,$1.00 - $1.25 SF/Mo,Industrial,"1,495 - 15,671 SF",4 Spaces,PA,For Lease,"Office, Flex",,"Lighting - Fluorescent,Water - City Water,Sewer - City Sewer,Heating - Electric"
533 S Carldon St,,"9,700 SF",Allentown,"Rental Rate,$11.50 /SF/YR,Rentable Building Area,9,700 SF,Property Type,Industrial,Year Built,1974,Property Subtype,Warehouse",8/1/2019,16786013,$0.96 SF/Mo,Industrial,"1,600 - 9,700 SF",3 Spaces,PA,For Lease,Industrial,"[('Lehigh Valley International Airport', '13 min drive', '6.1 mi'), ('Port of Philadelphia', '78 min drive', '51.4 mi'), ('All Steel Services, Incorporated', '11 min drive', '6.2 mi')]",
264 S Dock St,Floor Drains,"24,894 SF",Sharon,"Rental Rate,$3.13 /SF/YR,Rentable Building Area,24,894 SF,Property Type,Industrial,Year Built,1949,Property Subtype,Warehouse",11/18/2019,17751659,$0.26 SF/Mo,Industrial,"24,500 SF",1 Space,PA,For Lease,Industrial,"[('Youngstown-Warren Regional Airport', '21 min drive', '12.6 mi'), ('Port of Baltimore', '357 min drive', '312.5 mi'), ('United Steel Service, Inc.', '6 min drive', '3.3 mi')]","Lighting,Gas,Water,Sewer"
1310 Industrial Blvd,"Bus Line,Signage,Air Conditioning","66,680 SF",Southampton,"Rental Rate,$13.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,200 SF,Rentable Building Area,66,680 SF,Property Type,Industrial,Year Built,1974",1/27/2020,18317426,$1.08 SF/Mo,Industrial,"1,200 - 4,800 SF",1 Space,PA,For Lease,Office,"[('Trenton Mercer Airport', '32 min drive', '18.7 mi'), ('Philadelphia International Airport', '49 min drive', '29.8 mi'), ('Port of Philadelphia', '28 min drive', '15.3 mi'), ('REFIGERATED FOOD DISTRIBUTORS, INC.-PHILDELPHIA-PA', '13 min drive', '6.9 mi')]","Lighting,Water - County Water,Sewer - County Sewer,Heating - Electric"
1051 Sheffler Dr,,"98,000 SF",Chambersburg,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,98,000 SF,Property Type,Industrial,Year Built,1994,Property Subtype,Warehouse",1/29/2020,18334994,$0.50 SF/Mo,Industrial,"12,787 SF",1 Space,PA,For Lease,Office,"[('Port of Baltimore', '122 min drive', '97.5 mi'), ('ODC INTEGRATED LOGISTICS-CHAMBERSBURG-PA', '3 min drive', '0.6 mi')]",
636 Pen Argyl St,,"113,389 SF",Pen Argyl,"Rental Rate,$2.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,5,300 SF,Rentable Building Area,113,389 SF,Property Type,Industrial,Year Built,1900",6/4/2019,18390863,$0.21 SF/Mo,Industrial,"5,300 - 19,325 SF",1 Space,PA,For Lease,Industrial,"[('Lehigh Valley International Airport', '33 min drive', '19.8 mi'), ('New York Container Terminal', '100 min drive', '73.9 mi'), ('Foulk Reload', '31 min drive', '19.0 mi')]",
850 W Dauphin St,,"164,026 SF",Philadelphia,"Rental Rate,$3.69 /SF/YR,Rentable Building Area,164,026 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",2/3/2020,18394329,$0.31 SF/Mo,Industrial,"30,592 SF",1 Space,PA,For Lease,Industrial,"[('Temple University Transit Stop', '(R1, R2, R3, R5, R6, R7, R8)', '8 min walk'), ('0.4 mi', 'Susquehanna-Dauphin Transit Stop', '(Broad Street Line)'), ('11 min walk', '0.6 mi', 'North Broad Transit Stop'), ('(R1, R2, R3, R5, R6, R7, R8)', '20 min walk', '0.9 mi'), ('North Philadelphia Transit Stop', '(Broad Street Line)', '19 min walk'), ('1.0 mi', 'Cecil B Moore Transit Stop', '(Broad Street Line)'), ('20 min walk', '1.0 mi', 'Philadelphia 30th Street Commuter Rail (Atlantic City Line)'), ('10 min drive', '4.1 mi', 'Cherry Hill Commuter Rail (Atlantic City Line)'), ('18 min drive', '8.9 mi', 'Philadelphia International Airport'), ('26 min drive', '13.0 mi', 'Trenton Mercer Airport'), ('51 min drive', '32.3 mi', 'Port of Philadelphia'), ('11 min drive', '4.3 mi', 'Westway Terminal Company, Incorporated'), ('9 min drive', '3.7 mi')]","Water - City Water,Sewer - City Sewer"
