address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
900 Vandalia St,"Fenced Lot,Signage","36,860 SF",Saint Paul,"Rental Rate,$4.60 /SF/YR,Rentable Building Area,36,860 SF,Property Type,Industrial,Year Built,1992,Property Subtype,Warehouse",1/6/2020,18093205,$0.38 SF/Mo,Industrial,"20,500 SF",1 Space,MN,For Lease,Industrial,"[('Target Field Station Commuter Rail (Northstar Corridor)', '14 min drive', '6.2 mi'), ('Minneapolis–Saint Paul International Airport', '20 min drive', '8.5 mi'), ('Port of Shreveport', '1,169 min drive', '994.3 mi'), ('MIDWAY PUBLIC WAREHOUSE-ST. PAUL-MN', '3 min drive', '0.5 mi')]",
11301 Deuce Rd,,"1,500,000 SF",Elko,"Property Type,Industrial,Rentable Building Area,1,500,000 SF,Property Subtype,Warehouse,Construction Status,Proposed",3/6/2018,11824492,Rent Upon Request,Industrial,"1,500,000 SF",1 Space,MN,For Lease,Industrial,"[('Minneapolis–Saint Paul International Airport', '32 min drive', '25.4 mi'), ('Port of Shreveport', '1,129 min drive', '962.6 mi'), ('Rahr Malting Co.', '33 min drive', '26.4 mi')]",
2900 County 16 Rd SW,"24 Hour Access,Fenced Lot,Floor Drains,Yard,Storage Space,Car Charging Station","20,000 SF",Rochester,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,20,000 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Warehouse",1/15/2020,12287333,$0.67 SF/Mo,Industrial,"1,000 - 6,000 SF",2 Spaces,MN,For Lease,Industrial,,Gas - Natural
100 Barnes Ave,Signage,"48,000 SF",Inver Grove Heights,"Property Type,Industrial,Rentable Building Area,48,000 SF,Property Subtype,Warehouse,Construction Status,Proposed",10/13/2008,4134982,Rent Upon Request,Industrial,"48,000 SF",1 Space,MN,For Lease,Industrial,"[('Minneapolis–Saint Paul International Airport', '19 min drive', '11.9 mi'), ('Port of Shreveport', '1,161 min drive', '989.2 mi'), ('Dakota Bulk Terminal, Inc.', '12 min drive', '6.4 mi')]",
10900 89th Ave N,Signage,"45,040 SF",Maple Grove,"Rental Rate,$5.00 /SF/YR,Rentable Building Area,45,040 SF,Property Type,Industrial,Year Built,2003,Property Subtype,Warehouse",1/31/2020,4106406,$0.42 SF/Mo,Industrial,"4,800 SF",1 Space,MN,For Lease,Industrial,"[('Anoka Station Commuter Rail (Northstar Corridor)', '17 min drive', '8.9 mi')]",
223 National Park Dr,,"50,000 SF",Fowlerville,"Rental Rate,$6.95 /SF/YR,Property Subtype,Warehouse,Min. Divisible,25,000 SF,Rentable Building Area,50,000 SF,Property Type,Industrial,Year Built,2018",5/25/2017,7381958,$0.58 SF/Mo,Industrial,"25,000 - 50,000 SF",1 Space,MI,For Lease,Industrial,"[('Capital Region International Airport', '46 min drive', '33.8 mi'), ('Bishop International Airport', '61 min drive', '44.6 mi'), ('Port of Baltimore', '632 min drive', '564.0 mi'), ('ANDERSONS GRAND RIVER GRAIN CO.-WEBBERVILLE-MI', '16 min drive', '8.3 mi')]",Heating
5000 Stecker St,"Floor Drains,Security System,Signage,Air Conditioning","85,960 SF",Dearborn,"Rental Rate,$5.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,5,000 SF,Rentable Building Area,85,960 SF,Property Type,Industrial,Year Built/Renovated,1950/2017",6/8/2017,7597146,$0.42 SF/Mo,Industrial,"5,000 - 85,960 SF",1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '20 min drive', '10.6 mi'), ('Detroit Metropolitan Airport', '25 min drive', '16.5 mi'), ('Port of Baltimore', '587 min drive', '523.9 mi'), ('UP-DEARBORN-MI-4920 WYOMI', '2 min drive', '0.5 mi')]","Lighting - Metal Halide,Gas,Heating - Gas"
13750 Sherwood St,Fenced Lot,"22,730 SF",Detroit,"Rental Rate,$3.80 /SF/YR,Rentable Building Area,22,730 SF,Property Type,Industrial,Year Built,1949,Property Subtype,Warehouse",6/28/2017,7879223,$0.32 SF/Mo,Industrial,"22,730 SF",1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '5 min drive', '1.6 mi'), ('Detroit Metropolitan Airport', '42 min drive', '27.2 mi'), ('Port of Baltimore', '601 min drive', '534.1 mi'), ('Progressive Distribution Center', '6 min drive', '2.2 mi')]",Heating - Gas
15244 Common Rd,"Buss Ducts,Signage","16,137 SF",Roseville,"Rental Rate,$5.95 /SF/YR,Rentable Building Area,16,137 SF,Property Type,Industrial,Year Built,1977,Property Subtype,Warehouse,Industrial Manufacturing,Retail Building",10/4/2019,7905140,$0.50 SF/Mo,Industrial,"16,137 SF",1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '22 min drive', '9.9 mi'), ('Detroit Metropolitan Airport', '56 min drive', '39.9 mi'), ('Port of Baltimore', '615 min drive', '547.0 mi'), ('SUPERIOR PRODUCT TRANSFER SOLUTIONS', '13 min drive', '5.6 mi')]","Lighting - Fluorescent,Water - City Water,Sewer - City Sewer,Heating - Gas"
15301 E 12 Mile Rd,"Buss Ducts,Fenced Lot,Signage","17,600 SF",Roseville,"Rental Rate,$5.85 /SF/YR,Rentable Building Area,17,600 SF,Property Type,Industrial,Year Built,1965,Property Subtype,Warehouse,Industrial Manufacturing",7/5/2017,7980477,$0.49 SF/Mo,Industrial,"17,600 SF",1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '20 min drive', '9.5 mi'), ('Detroit Metropolitan Airport', '54 min drive', '39.7 mi'), ('Port of Baltimore', '613 min drive', '546.8 mi'), ('SUPERIOR PRODUCT TRANSFER SOLUTIONS', '11 min drive', '5.2 mi')]","Lighting - Fluorescent,Heating"
R Mancini Dr @ Van Dyke Road,Fluorescent Lighting,"35,660 SF",Sterling Heights,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,35,660 SF,Property Type,Industrial,Construction Status,Proposed,Property Subtype,Warehouse,Cross Streets,Van Dyke Road",7/7/2017,8017499,$0.54 SF/Mo,Industrial,"35,660 SF",1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '31 min drive', '16.3 mi'), ('Port of Baltimore', '622 min drive', '550.5 mi'), ('SUPERIOR PRODUCT TRANSFER SOLUTIONS', '24 min drive', '12.1 mi')]",Lighting
32400-32538 Dequindre Rd,Signage,"66,420 SF",Warren,"Rental Rate,$7.74 - $7.92 /SF/YR,Rentable Building Area,66,420 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Warehouse",12/20/2019,8222124,$0.65 - $0.66 SF/Mo,Industrial,"2,500 - 5,600 SF",2 Spaces,MI,For Lease,Industrial,,
807 Airport Access Rd,,"195,000 SF",Traverse City,"Rental Rate,$7.52 /SF/YR,Rentable Building Area,195,000 SF,Property Type,Industrial,Year Built,1947,Property Subtype,Warehouse,Office Building",3/13/2020,8485242,$0.63 SF/Mo,Industrial,950 SF,1 Space,MI,For Lease,Industrial,"[('Cherry Capital Airport', '5 min drive', '0.9 mi'), ('Port of Baltimore', '862 min drive', '763.5 mi'), ('MIDWEST TIMBER', '101 min drive', '68.0 mi')]",
37600-37660 Hills Tech Dr,,"31,372 SF",Farmington Hills,"Rental Rate,$6.95 - $12.95 /SF/YR,Property Subtype,Light Manufacturing,Industrial Warehouse,Total Space Available,21,416 SF,Building Class,C,Max. Contiguous,15,041 SF,Rentable Building Area,31,372 SF,Property Type,Flex,Year Built,1984",9/9/2019,8524848,$0.58 - $1.08 SF/Mo,Flex,"1,717 - 21,416 SF",7 Spaces,MI,For Lease,"Office, Flex","[('Detroit City Airport', '38 min drive', '25.5 mi'), ('Detroit Metropolitan Airport', '30 min drive', '28.1 mi')]",
2307 S Saginaw St,"Bus Line,Fenced Lot","30,155 SF",Flint,"Rental Rate,$4.95 /SF/YR,Rentable Building Area,30,155 SF,Property Type,Industrial,Year Built,1949,Property Subtype,Warehouse",8/11/2017,8624634,$0.41 SF/Mo,Industrial,"30,155 SF",1 Space,MI,For Lease,Industrial,"[('Bishop International Airport', '13 min drive', '6.6 mi'), ('Port of Baltimore', '648 min drive', '580.5 mi'), ('TRANSFLO-FLINT-MI', '10 min drive', '6.2 mi')]","Lighting - Metal Halide,Gas,Heating - Gas"
