address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
11907 General Dr,,"243,072 SF",Charlotte,"Rental Rate,$5.25 /SF/YR,Rentable Building Area,243,072 SF,Property Type,Industrial,Year Built,2020,Property Subtype,Warehouse,Construction Status,Under Construction",,,2/28/2019,15305350,$0.44 SF/Mo,,Industrial,"243,072 SF","New space, never previously occupied,Lease rate does not include utilities, property expenses or building services",,1 Space,NC,For Lease,Industrial,"[('Charlotte Douglas International Airport', '20 min drive', '8.7 mi'), ('Port of Wilmington', '244 min drive', '205.6 mi'), ('NS THOROUGHBRED BULK TRANSFER TERMINAL-CHARLOTTE-N', '2 min drive', '0.5 mi')]",
1427 Boulder Ct,"Storage Space,Air Conditioning","23,000 SF",Greensboro,"Rental Rate,$5.95 - $9.95 /SF/YR,Property Subtype,Warehouse,Total Space Available,21,000 SF,Rentable Building Area,23,000 SF,Max. Contiguous,15,000 SF,Year Built,1995,Property Type,Industrial","Available For Lease,Dock High & Drive-In Door,Ceiling Heights: 19' - 16',From 5,000 - 23,000 SF,HVAC in Warehouse,Three Phase Power",,7/15/2019,16615107,$0.50 - $0.83 SF/Mo,"An industrial and storage building built in 1996 & 2008 and nestled on 5.69 acres inside Guilford County.  Conveniently located off Piedmont Parkway and Tarrant Road with quick access to West Wendover Avenue and Interstate 73.
The property is also zoned conditional use light industrial and is serviced by a well and septic system.",Industrial,"3,000 - 21,000 SF","Listed rate may not include certain utilities, building services and property expenses,Can be combined with additional space(s) for up to 15,000 SF of adjacent space,Includes 1,500 SF of dedicated office space,1 Loading Dock,New space, never previously occupied,Includes 1,500 SF of dedicated office space,Can be combined with additional space(s) for up to 15,000 SF of adjacent space,Central Air Conditioning,Listed rate may not include certain utilities, building services and property expenses,1 Drive In Bay,1 Loading Dock,Listed rate may not include certain utilities, building services and property expenses,1 Loading Dock,1 Drive In Bay,Listed rate may not include certain utilities, building services and property expenses,Includes 3,000 SF of dedicated office space","The industrial building has three phase power, HVAC, and electrical drops throughout.",4 Spaces,NC,For Lease,Industrial,"[('Piedmont Triad International Airport', '20 min drive', '9.7 mi'), ('Virginia Port Authority - Richmond', '241 min drive', '206.8 mi'), ('Triad Wholesale Lumber Incorporated', '13 min drive', '5.6 mi')]","Water - Well,Sewer - Septic Field"
819 Baker Rd,Fenced Lot,"19,764 SF",High Point,"Rental Rate,$3.75 /SF/YR,Rentable Building Area,19,764 SF,Property Type,Industrial,Year Built,1977,Property Subtype,Warehouse","upgraded to LED lighting,Fenced and gated lay yard,New gas fired heaters installed 2019,Front offices with reception and show/retail room",,11/4/2019,17631373,$0.31 SF/Mo,"• 19,764 SF (4,800 SF Office/Showroom)
• 1.42 Acres
• 2 Dock Doors (8’x10’) 1 Ramped to accomodate box delivery trucks
• 18’ Ceiling Height
• Large Paved Fenced-in Yard for Outside Storage and parking for 20+ vehicles
• Free Standing Building with showroom and front reception area
• Fully conditioned warehouse available upon request
• Fully Sprinklered
• Located in industrial area with like kind buildings
• Power- (1) 400 Amp (2) 200 Amp
• .85 Miles from I-74
• 1.44 Miles from US-70 and I-74 Interchange
• 3.25 Miles from I-85 and I-74 Interchange",Industrial,"19,764 SF","Lease rate does not include utilities, property expenses or building services,2 Loading Docks,Includes 4,800 SF of dedicated office space,Central Air Conditioning",,1 Space,NC,For Lease,Industrial,"[('Piedmont Triad International Airport', '33 min drive', '18.5 mi'), ('Port of Wilmington', '240 min drive', '192.7 mi'), ('Triad Wholesale Lumber Incorporated', '27 min drive', '14.5 mi')]","Water - City Water,Sewer - City Sewer"
2829 Rosemont Dr,"24 Hour Access,Fenced Lot,Signage","3,600 SF",Charlotte,"Rental Rate,$7.50 /SF/YR,Rentable Building Area,3,600 SF,Property Type,Industrial,Year Built,1968,Property Subtype,Warehouse","Convenient location just off Wilkinson Blvd./ easy access to the Charlotte Douglas Airport, I-85, I-77, & all parts of Charlotte",,1/16/2020,18210807,$0.63 SF/Mo,"Excellent location. Conveniently located off Wilkinson Blvd. with easy access to Airport, I-77, & I-85.  Industrial building zoned I - 2.  Two pull up entrances to building and large covered patio area. Rear yard is fenced. Modified Gross Rent Lease at $2250.00 per month.",Industrial,"3,600 SF","Listed rate may not include certain utilities, building services and property expenses",$ 2250 per month,1 Space,NC,For Lease,Industrial,"[('Charlotte Douglas International Airport', '13 min drive', '5.2 mi'), ('Port of Wilmington', '241 min drive', '203.5 mi'), ('Charlotte Van & Storage', '9 min drive', '4.3 mi')]","Water - City Water,Sewer - City Sewer,Heating"
119-04 14th Road College Pt,,"10,000 SF",College Point,"Property Type,Industrial,Rentable Building Area,10,000 SF,Property Subtype,Warehouse,Year Built,1928",,,3/12/2020,18850775,Rent Upon Request,,Industrial,"9,900 SF",,"Approx. 10,000 SF Warehouse + 5,000 SF Yard
250’ wrapped around 14th Rd and 119 Street
5,000SF of fenced and paved parking in the yard 
Close to Van Wyck Expy, Grand Central Pkwy, Cross Island Pkwy, Whitestone Bridge, Throgs Neck Bridge, NY Airports
Q65 bus stop one block away",1 Space,NY,For Lease,Industrial,"[('Flushing-Main Street Station Commuter Rail (Port Washington Branch)', '8 min drive', '2.5 mi'), ('Mets-Willets Point Station Commuter Rail (Port Washington Branch)', '10 min drive', '3.4 mi'), ('La Guardia Airport', '12 min drive', '4.8 mi'), ('John F. Kennedy International Airport', '20 min drive', '12.4 mi'), ('Newark Liberty International Airport', '49 min drive', '26.5 mi'), ('NY - Red Hook Container Terminal', '28 min drive', '15.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '18 min drive', '9.4 mi')]",
222 Washington St,,"18,000 SF",Mount Vernon,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,18,000 SF,Property Type,Industrial,Year Built,1943,Property Subtype,Warehouse",,,11/11/2015,4020036,$1.50 SF/Mo,"A great space with high ceilings as well as private driveways.  This space has two available spots for lease, one for 8,000 square feet and the other for 10,000 square feet.  Both vacancies have freight elevators as well as lift gates for the entrance.Rent includes taxes and insurance.
A great central location, minutes from the Hutchinson River Parkway and I-95.",Industrial,"8,000 - 18,000 SF","Listed rate may not include certain utilities, building services and property expenses,Can be combined with additional space(s) for up to 18,000 SF of adjacent space,Listed rate may not include certain utilities, building services and property expenses,Can be combined with additional space(s) for up to 18,000 SF of adjacent space",,2 Spaces,NY,For Lease,Industrial,"[('Mount Vernon East Station Commuter Rail (New Haven Line)', '6 min walk', '0.3 mi'), ('Pelham Station Commuter Rail (New Haven Line)', '5 min drive', '1.5 mi'), ('La Guardia Airport', '24 min drive', '13.9 mi'), ('Westchester County Airport', '27 min drive', '16.6 mi'), ('John F. Kennedy International Airport', '32 min drive', '21.5 mi'), ('NY - Red Hook Container Terminal', '37 min drive', '23.5 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '27 min drive', '15.9 mi')]",
4821 1st Ave,Metro/Subway,"30,000 SF",Brooklyn,"Rental Rate,$20.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,18,000 SF,Rentable Building Area,30,000 SF,Property Type,Industrial,Year Built,1931",,,8/10/2016,4273897,$1.67 SF/Mo,"1 Story Warehouse + 2,000 S.F. of Parking, Corner Property, 20' Ceiling Height, 2 Overhead Drive-In Doors, Interior Loading Dock, Gas Heat, Class ""A"" Offices with Kitchenette and Central A/C
Sunset Park, Near N & R Trains",Industrial,"18,000 - 30,000 SF","Listed rate may not include certain utilities, building services and property expenses,1 Loading Dock,2 Drive Ins",,1 Space,NY,For Lease,Industrial,"[('53 Street Transit Stop', '11 min walk', '0.6 mi'), ('45 Street Transit Stop', '11 min walk', '0.6 mi'), ('59 Street', '17 min walk', '0.9 mi'), ('36 Street', '19 min walk', '1.0 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '17 min drive', '7.0 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '20 min drive', '8.3 mi'), ('La Guardia Airport', '24 min drive', '16.5 mi'), ('Newark Liberty International Airport', '30 min drive', '22.9 mi'), ('John F. Kennedy International Airport', '33 min drive', '23.7 mi'), ('NY - Red Hook Container Terminal', '1 min drive', '2.5 mi'), ('Liberty Transmodal, Inc. c/o Cross Harbor', '1 min drive', '0.3 mi')]",
807 Bank St,"Floor Drains,Metro/Subway","45,000 SF",Brooklyn,"Rental Rate,$12.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,14,500 SF,Rentable Building Area,45,000 SF,Property Type,Industrial,Year Built,1930",,,5/17/2017,7297798,$1.00 SF/Mo,,Industrial,"14,500 - 45,000 SF","Listed rate may not include certain utilities, building services and property expenses,1 Drive In Bay,1 Loading Dock,Includes 1,200 SF of dedicated office space,Space is in Excellent Condition","ONE STORY WAREHOUSE, 14,500 SF
CEILING HEIGHT: 15¹ 
1 INTERIOR DOCK
1 DRIVE-IN
APPROXIMATELY 1,200 SF OF TURNKEY OFFICES
(CENTRAL HVAC)
PRIVATE PARKING
HEAVY POWER
SPACE & FLOORS IN IMMACULATE CONDITION
ONE BLOCK TO SUBWAY",1 Space,NY,For Lease,Industrial,"[('New Lots Avenue', '7 min walk', '0.4 mi'), ('East 105 Street Transit Stop', '10 min walk', '0.5 mi'), ('Junius Street Transit Stop', '14 min walk', '0.7 mi'), ('Livonia Avenue Transit Stop', '16 min walk', '0.8 mi'), ('Canarsie-Rockaway Parkway Transit Stop', '19 min walk', '0.9 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '7 min drive', '2.5 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '10 min drive', '5.1 mi'), ('John F. Kennedy International Airport', '13 min drive', '8.4 mi'), ('La Guardia Airport', '18 min drive', '12.7 mi'), ('Newark Liberty International Airport', '43 min drive', '20.4 mi'), ('NY - Red Hook Container Terminal', '15 min drive', '7.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '10 min drive', '4.7 mi')]",Heating - Fired Oil
32 Enterprise Zone Dr,,"7,010 SF",Riverhead,"Rental Rate,$11.50 /SF/YR,Rentable Building Area,7,010 SF,Property Type,Industrial,Year Built,2017,Property Subtype,Warehouse",,,4/20/2020,10942185,$0.96 SF/Mo,"Brand new industrial building in the heart of Riverhead.  Building divides into four (4) units. 
1 drive-in per unit and 10% office space.
Units may be combined to 3,355 SF.",Industrial,"1,650 - 3,355 SF","Rate includes utilities, building services and property expenses,Rate includes utilities, building services and property expenses",,2 Spaces,NY,For Lease,Industrial,"[('Riverhead Station Commuter Rail (Greenport Branch)', '4 min drive', '1.3 mi'), ('Westhampton Station Commuter Rail (Montauk Branch)', '14 min drive', '6.9 mi')]",
40 Banfi Plz,,"24,730 SF",Farmingdale,"Rental Rate,$12.50 /SF/YR,Rentable Building Area,24,730 SF,Property Type,Industrial,Year Built,1922,Property Subtype,Warehouse","Sprinklered,Ample power,On sewers,Ample parking,2-Street access",,9/4/2019,11368777,$1.04 SF/Mo,"Accessible from Banfi Plaza N. and Boening Plaza.
Minutes from all major highways and LIRR.",Industrial,"6,700 SF","Listed rate may not include certain utilities, building services and property expenses,1 Drive In Bay,Includes 335 SF of dedicated office space,1 Loading Dock","This space includes 5% air-conditioned office space, one (1) drive-in/dock combo, ample power and parking.  Tenant to pay proportionate share of CAM & Insurance.",1 Space,NY,For Lease,Industrial,"[('Farmingdale Station Commuter Rail (Ronkonkoma Branch)', '8 min drive', '3.2 mi'), ('Pinelawn Station Commuter Rail (Ronkonkoma Branch)', '8 min drive', '3.3 mi'), ('Long Island MacArthur Airport', '32 min drive', '22.7 mi'), ('John F. Kennedy International Airport', '31 min drive', '24.8 mi'), ('La Guardia Airport', '40 min drive', '31.8 mi'), ('NY - Red Hook Container Terminal', '46 min drive', '34.4 mi'), ('Pinter Warehouse', '14 min drive', '9.0 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
