address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
5444 Vineland Ave,"Fenced Lot,Yard","4,290 SF",North Hollywood,"Rental Rate,$72.72 /SF/YR,Rentable Building Area,4,290 SF,Property Type,Industrial,Year Built,1946,Property Subtype,Warehouse","Street to Street Access,Ample Ground Level Loading,Easily Accessible",,3/25/2019,15540322,$6.06 SF/Mo,"Warehouse located on 70,950 SF of land in the heart of North Hollywood
Ideal location for rental, truck, and entertainment companies",Industrial,"4,290 SF","Listed rate may not include certain utilities, building services and property expenses",,1 Space,CA,For Lease,Industrial,"[('North Hollywood Station', '10 min walk', '0.5 mi'), ('Burbank-Bob Hope Airport Commuter Rail (Ventura County Line)', '6 min drive', '2.8 mi'), ('Downtown Burbank Commuter Rail (Ventura County, Antelope Valley Lines)', '9 min drive', '4.2 mi'), ('Bob Hope Airport', '6 min drive', '2.8 mi'), ('Los Angeles International Airport', '34 min drive', '24.8 mi'), ('Long Beach-Daugherty Field Airport', '48 min drive', '34.8 mi'), ('Port of Long Beach', '51 min drive', '36.3 mi'), ('UP-LOS ANGELES-CA-750 LAMAR', '20 min drive', '14.2 mi')]",
4935 McConnell Ave,,"52,300 SF",Los Angeles,"Rental Rate,$24.00 /SF/YR,Rentable Building Area,52,300 SF,Property Type,Industrial,Year Built,1973,Property Subtype,Warehouse","Ideal Location in the Westside,Close to 405 FWY, 90 FWY, and LAX",,5/10/2019,16012174,$2.00 SF/Mo,,Industrial,"5,359 SF","Listed rate may not include certain utilities, building services and property expenses,1 Drive In Bay",325 Amps of power,1 Space,CA,For Lease,Industrial,"[('Los Angeles International Airport', '13 min drive', '6.0 mi'), ('Bob Hope Airport', '34 min drive', '23.0 mi'), ('Long Beach-Daugherty Field Airport', '33 min drive', '23.6 mi'), ('Port of Los Angeles', '41 min drive', '26.6 mi'), ('RAPID DEPLOYMENT SYSTEMS, INC.-LOS ANGELES-CA', '21 min drive', '13.3 mi')]",
3660 S Hill St,,"19,303 SF",Los Angeles,"Rental Rate,$9.36 /SF/YR,Rentable Building Area,19,303 SF,Property Type,Industrial,Year Built,1954,Property Subtype,Manufacturing","Rent Reduced! Block-to-Block Industrial Facility,High Ceiling Clearance — Heavy Power — Parking,Great Location Close to USC and DTLA",,6/18/2019,16381391,$0.78 SF/Mo,"Rent reduced! Lessor motivated! Single-story manufacturing/warehouse facility ideal for sewing/cutting or general warehouse use. Located block-to-block between 36th & 37th Streets. Just east of Harbor (110 Freeway) and USC campus. Heavy power service; fully sprinklered; 16' warehouse ceiling height; 2 ground level loading doors: 20x12 & 10x12; parking included for 9± vehicles; 2,860± sq.ft. of office space.",Industrial,"19,303 SF","Listed rate may not include certain utilities, building services and property expenses,Includes 2,860 SF of dedicated office space",Rent reduced! Lessor motivated!,1 Space,CA,For Lease,Industrial,"[('Jefferson/USC Transit Stop', '10 min walk', '0.5 mi'), ('Expo Park/USC Transit Stop', '12 min walk', '0.6 mi'), ('Expo/Vermont Transit Stop', '18 min walk', '0.9 mi'), ('Union Station Commuter Rail (Ventura County, Antelope Valley, San Bernardino, Riverside, Orange County, 91 Lines)', '9 min drive', '4.1 mi'), ('Cal State LA Commuter Rail (San Bernardino Line)', '12 min drive', '8.1 mi'), ('Los Angeles International Airport', '20 min drive', '12.5 mi'), ('Bob Hope Airport', '29 min drive', '17.9 mi'), ('Long Beach-Daugherty Field Airport', '27 min drive', '19.9 mi'), ('Port of Long Beach', '30 min drive', '21.7 mi'), ('RAPID DEPLOYMENT SYSTEMS, INC.-LOS ANGELES-CA', '6 min drive', '3.2 mi')]",
19410-19420 Business Center Dr,"Signage,Air Conditioning","19,800 SF",Northridge,"Rental Rate,$21.96 /SF/YR,Rentable Building Area,19,800 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Warehouse","* Hard to find Small Office Space *,* Easy Access to Major Freeways *,* Convenient Central Valley Location *",,7/12/2019,16602120,$1.83 SF/Mo,"* High Image Multi-Tenant Building *
* Rear Parking Lot *
* Great Location Off of Tampa Ave *
* Walk to Restaurants *",Industrial,820 SF,"Rate includes utilities, building services and property expenses,3 Private Offices,Fits 3 - 6 People,Central Air Conditioning","* Hard to find small office space *
* Conveniently located near excellent food amenities *
* $1,500/monthly + CAM Fees *",1 Space,CA,For Lease,Office,"[('Northridge Commuter Rail (Ventura County Line)', '20 min walk', '1.0 mi'), ('Chatsworth Commuter Rail (Ventura County Line)', '10 min drive', '4.3 mi'), ('Bob Hope Airport', '25 min drive', '13.2 mi'), ('Los Angeles International Airport', '38 min drive', '27.0 mi'), ('The Port of Hueneme', '63 min drive', '46.3 mi'), ('UP-LOS ANGELES-CA-750 LAMAR', '38 min drive', '28.3 mi')]",
1667 N Main St,"Bus Line,Fenced Lot,Yard","78,958 SF",Los Angeles,"Rental Rate,$39.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,6,000 SF,Rentable Building Area,78,958 SF,Property Type,Industrial,Year Built,1953",,,8/7/2019,16848583,$3.25 SF/Mo,,Industrial,"6,000 - 78,958 SF","Sublease space available from current tenant,Can be combined with additional space(s) for up to 78,958 SF of adjacent space,Lease rate does not include utilities, property expenses or building services,Sublease space available from current tenant,Can be combined with additional space(s) for up to 78,958 SF of adjacent space,Lease rate does not include utilities, property expenses or building services","- 33,000 SF of Creative Office Space 
- Two High-clear Warehouses 
- 12,000 SF Parking Garage 
- Ultra High Exposed Ceilings 
- Roll Up Doors 
- Polished Concrete Floors 
- Potentially Divisible 
- Flexible Urban Innovation Zoning 
- Close to Metro Expo Line 
- Blocks to LA State Historic Park, Majordomo, 
Apotheke,- 33,000 SF of Creative Office Space 
- Two High-clear Warehouses 
- 12,000 SF Parking Garage 
- Ultra High Exposed Ceilings 
- Roll Up Doors 
- Polished Concrete Floors 
- Potentially Divisible 
- Flexible Urban Innovation Zoning 
- Close to Metro Expo Line 
- Blocks to LA State Historic Park, Majordomo, 
Apotheke",2 Spaces,CA,For Lease,"Office, Industrial","[('Chinatown Station', '15 min walk', '0.8 mi'), ('Union Station Commuter Rail (Ventura County, Antelope Valley, San Bernardino, Riverside, Orange County, 91 Lines)', '4 min drive', '1.3 mi'), ('Cal State LA Commuter Rail (San Bernardino Line)', '8 min drive', '5.5 mi'), ('Bob Hope Airport', '24 min drive', '15.7 mi'), ('Los Angeles International Airport', '29 min drive', '17.2 mi'), ('Long Beach-Daugherty Field Airport', '34 min drive', '22.3 mi'), ('Port of Long Beach', '36 min drive', '25.1 mi'), ('UP-LOS ANGELES-CA-750 LAMAR', '2 min drive', '0.5 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer"
14532 Blythe St,"24 Hour Access,Cooler,Fenced Lot,Floor Drains,Freezer (Space),Signage,Yard,Air Conditioning","18,120 SF",Van Nuys,"Rental Rate,$13.80 /SF/YR,Rentable Building Area,18,120 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Manufacturing","Excellent Freestanding Industrial Facility - Currently Used as a Bakery - Walk-In Cooler & Freezer,Ample Power - Natural Gas - Well Distributed Utilities Throughout,Excellent Loading with 5 Ground Level Loading Doors - 2 Storage Containers (can be removed),Extremely Efficient with Well Designed & Functional Office, Production and Storage Space,Fenced & Secured Parking,Mintues from Amenities, Restaurants & Freeway Onramps",,11/11/2019,17110427,$1.15 SF/Mo,"Excellent Freestanding Industrial Facility - Existing Bakery with Walk-In Cooler & Freezer - Prime Central Valley Location  - Divisible 6,200 & 11,920 SF
Spectrum Commercial Real Estate, Inc. is pleased to present a prime freestanding industrial facility that is currently being used as a bakery. The property is extremely efficient and features well designed and functional office, production and storage space; ample power(One (1) 200 Amps, 240V, Three Phase Panel. One (1) 400 Amps, 240V, Three Phase Panel) ; natural gas; well distributed utilities throughout; 100% air conditioned space; walk-in cooler and freezer; 5 ground level loading doors; excellent clear height; ample parking; 2 storage containers (can be removed); fenced and secured parking. 
The Property is located in a prime central valley location adjacent to Van Nuys Blvd and within walking distance from The Plant that has ample restaurants, Home Depot, Ross, Party City, Living Spaces, Smart & Final and features excellent freeway access.",Industrial,"6,200 - 18,120 SF","Listed rate may not include certain utilities, building services and property expenses,5 Drive Ins,Can be combined with additional space(s) for up to 18,120 SF of adjacent space,Kitchen,Freezer Space,Includes 1,000 SF of dedicated office space,Space is in Excellent Condition,Central Air and Heating,Private Restrooms,Natural Light,Listed rate may not include certain utilities, building services and property expenses,Can be combined with additional space(s) for up to 18,120 SF of adjacent space,Space is in Excellent Condition","Existing Bakery. Walk-In Cooler & Freezer. Can be utilized as General Industrial Uses.,Existing Bakery. Walk-In Cooler & Freezer. Can be utilized as General Industrial Uses.",2 Spaces,CA,For Lease,Industrial,"[('Van Nuys Commuter Rail (Ventura County Line)', '10 min walk', '0.4 mi'), ('Sun Valley Commuter Rail (Antelope Valley Line)', '11 min drive', '5.1 mi'), ('Bob Hope Airport', '12 min drive', '6.2 mi'), ('Los Angeles International Airport', '33 min drive', '23.1 mi'), ('Port of Long Beach', '55 min drive', '42.4 mi'), ('UP-LOS ANGELES-CA-750 LAMAR', '29 min drive', '20.9 mi')]","Lighting,Gas,Water,Sewer,Heating"
2000 E 67th St,"Fenced Lot,Skylights","17,639 SF",Huntington Park,"Rental Rate,$9.48 /SF/YR,Rentable Building Area,17,639 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Distribution",,,10/3/2019,17358145,$0.79 SF/Mo,"- Modern, Free-Standing Building with Industrial Park Setting
- Excellent manufacturing/warehouse facility
- Close to Alameda Corridor
- Secured/ Fenced Yard
- 3,796 SF of office space
- 20 Car parking spaces
- 2 Dock-High Loading Positions",Industrial,"17,639 SF","Listed rate may not include certain utilities, building services and property expenses,1 Drive In Bay,Includes 3,796 SF of dedicated office space,2 Loading Docks","Modern Free Standing Building With Industrial Park Setting
Excellent Manufacturing/Warehouse Facility
Close To Alameda Corridor
Secure Fenced Yard - 3,796 SF Of Office
20 Car Parking",1 Space,CA,For Lease,Industrial,"[('Florence Station', '14 min walk', '0.7 mi'), ('Slauson Station', '19 min walk', '1.0 mi'), ('Union Station Commuter Rail (Ventura County, Antelope Valley, San Bernardino, Riverside, Orange County, 91 Lines)', '13 min drive', '6.1 mi'), ('Commerce Commuter Rail (Orange County, 91 Lines)', '15 min drive', '7.3 mi'), ('Long Beach-Daugherty Field Airport', '26 min drive', '15.0 mi'), ('Los Angeles International Airport', '23 min drive', '15.5 mi'), ('Bob Hope Airport', '32 min drive', '22.5 mi'), ('Port of Long Beach', '28 min drive', '16.6 mi'), ('ANCON TRANSPORTATION-VERNON-CA', '4 min drive', '1.9 mi')]",
9541 Mason Ave,Fenced Lot,"50,234 SF",Chatsworth,"Rental Rate,$10.56 /SF/YR,Rentable Building Area,50,234 SF,Property Type,Industrial,Year Built/Renovated,1973/1996,Property Subtype,Warehouse","CAN BE COMBINED WITH 9505 MASON AVE FOR A TOTAL OF 81,573 SF,(4) Dock High Loading Positions,Clearance Height: 17'-19’,BELOW MARKET NNN EXPENSES OF ONLY $0.075 / SF,(2) 12' x 14' Ground Level Loading Doors & 128 Parking Stalls,3,400 AMP, 277/480 Volt; 3 Phase Power Distributed Throughout Bldg",,10/21/2019,17514542,$0.88 SF/Mo,"9541 Mason Avenue is a highly functional industrial building with major visibility fronting the signalized corner of Mason Avenue and Plummer Street in Chatsworth, CA. The building has 3,400 AMPS of heavily distributed power, making it an ideal option for manufacturing purposes. Additionally, the building's 17'-19' interior ceiling clearance and 4 dock high loading positions make it an excellent option for distribution uses. The property is located in close proximity to the on and off ramps of the 118 freeway, as well as the dining and shopping amenities of the Northridge Mall.",Industrial,"50,234 SF","Lease rate does not include utilities, property expenses or building services,2 Drive Ins,4 Loading Docks,Building Size: 50,234 SF (expandable to 81,573 SF),(4) Dock High Loading Positions,3,400 AMP; 277/480 Volt; 3 Phase Distributed Power,Includes 7,050 SF of dedicated office space,Can be combined with additional space(s) for up to 50,234 SF of adjacent space,BELOW MARKET NNN EXPENSES: $0.075 / SF,Clearance Height: 17'-19’ and 128 Car Parking,(2) 12' x 14' Ground Level Loading Doors","9541 Mason Avenue is a highly functional industrial building with major visibility fronting the signalized corner of Mason Avenue and Plummer Street in Chatsworth, CA. The building has 3,400 AMPS of heavily distributed power, making it an ideal option for manufacturing purposes. Additionally, the building's 17'-19' interior ceiling clearance and 4 dock high loading positions make it an excellent option for distribution uses. The property is located in close proximity to the on and off ramps of the 118 freeway, as well as the dining and shopping amenities of the Northridge Mall.",1 Space,CA,For Lease,Industrial,"[('Chatsworth Commuter Rail (Ventura County Line)', '5 min drive', '1.8 mi'), ('Northridge Commuter Rail (Ventura County Line)', '7 min drive', '3.2 mi'), ('Bob Hope Airport', '26 min drive', '18.2 mi'), ('Los Angeles International Airport', '41 min drive', '29.2 mi'), ('The Port of Hueneme', '62 min drive', '44.5 mi'), ('UP-LOS ANGELES-CA-750 LAMAR', '40 min drive', '31.0 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating"
1117-1137 Venice Blvd,,"7,734 SF",Los Angeles,"Rental Rate,$23.40 /SF/YR,Rentable Building Area,7,734 SF,Property Type,Industrial,Year Built,1929,Property Subtype,Warehouse","2nd Floor Professional or Creative Office Space,Free, Secure Parking for 13 Vehicles Included in Lot at Rear of Building,Great Location Near Convention Center, Staples Center and LA Live,Space is Currently Undergoing a Full Renovation",,11/12/2019,17703612,$1.95 SF/Mo,"Fantastic second floor space available. Landlord is completing a full remodel of the space. Ideal for dance studio, photographer, designer, creative use, etc. Open floor plan with 12' ceiling height. Red brick with exposed HVAC; 100 amps power service; 3 restrooms. Abundant natural light! Lots of windows facing north, south and west. Includes free, secure parking for 13 vehicles at rear of building. Located one block west of Union Avenue. Just minutes to Convention Center, Staples Center and LA Live.",Industrial,"3,867 SF","Listed rate may not include certain utilities, building services and property expenses,12' Finished Ceilings",,1 Space,CA,For Lease,Office,"[('Union Station Commuter Rail (Ventura County, Antelope Valley, San Bernardino, Riverside, Orange County, 91 Lines)', '8 min drive', '3.7 mi'), ('Glendale Commuter Rail (Ventura County, Antelope Valley Lines)', '13 min drive', '7.0 mi'), ('Los Angeles International Airport', '23 min drive', '13.2 mi'), ('Bob Hope Airport', '25 min drive', '14.3 mi'), ('Long Beach-Daugherty Field Airport', '30 min drive', '21.9 mi'), ('Port of Long Beach', '33 min drive', '23.8 mi'), ('RAPID DEPLOYMENT SYSTEMS, INC.-LOS ANGELES-CA', '6 min drive', '3.2 mi')]",
2850 E 29th St,,"22,600 SF",Long Beach,"Rental Rate,$16.20 /SF/YR,Rentable Building Area,22,600 SF,Property Type,Industrial,Year Built,1964,Property Subtype,Warehouse","Directly off the 405 Freeway,Sublessor is Open to Modifying the Floor Plan to Fit Sublessee's Needs,Minutes from the Long Beach Airport,High End Corporate Office Buildout",,12/27/2019,18045291,$1.35 SF/Mo,,Industrial,"12,000 SF","Sublease space available from current tenant,Includes 9,000 SF of dedicated office space,1 Drive In Bay,Listed rate may not include certain utilities, building services and property expenses,Space is in Excellent Condition,Furniture Available for Purchase",The tenant recently sold their company but still has a lease in place until 2025. The tenant is open to making tenant improvements to the building including removing a portion of the office space to make a larger warehouse.,1 Space,CA,For Lease,Flex,"[('Long Beach-Daugherty Field Airport', '4 min drive', '1.7 mi'), ('Los Angeles International Airport', '29 min drive', '20.6 mi'), ('John Wayne Airport', '28 min drive', '21.1 mi'), ('Port of Long Beach', '11 min drive', '4.3 mi'), ('CSX INTERMODAL-LONG BEACH-CA', '9 min drive', '4.2 mi')]",
