address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
6115 Fm 762 Rd,"Signage,Air Conditioning","17,500 SF",Rosenberg,"Rental Rate,$13.00 /SF/YR,Rentable Building Area,17,500 SF,Property Type,Industrial,Year Built,2011,Property Subtype,Warehouse",,,10/24/2019,16376701,$1.08 SF/Mo,"Located in Rapidly Growing Fort Bend County. Located just West of Crabb River Rd/Hwy 99, South of Hwy 59, with Frontage along FM 762 Rd.
Approximately 100 Yards West of the planned Grand Parkway Extension South of Hwy 59",Industrial,"2,500 SF","Lease rate does not include utilities, property expenses or building services,Private Restrooms,Central Air Conditioning","Suite 500 has a (1) large office space, restroom both with AC. Warehouse area on second floor, no AC.
Suite 700 is a entire warehouse area and (1) restroom, no AC.",1 Space,TX,For Lease,Industrial,,
2585 NE 33rd St,,"23,200 SF",Fort Worth,"Rental Rate,$5.00 /SF/YR,Rentable Building Area,23,200 SF,Property Type,Industrial,Year Built,1970,Property Subtype,Warehouse",,,7/16/2019,16628473,$0.42 SF/Mo,,Industrial,"23,200 SF","Lease rate does not include utilities, property expenses or building services,2 Loading Docks,1 Drive In Bay",,1 Space,TX,For Lease,Industrial,"[('Dallas/Fort Worth International Airport', '33 min drive', '23.5 mi'), ('Dallas Love Field Airport', '44 min drive', '32.2 mi'), ('Port of Shreveport', '250 min drive', '230.4 mi'), ('PCI TRANSPORTATION, INC.-FORT WORTH-TX', '1 min drive', '0.2 mi')]",
800 E Texas Ave,"24 Hour Access,Fenced Lot,Security System,Signage,Storage Space,Air Conditioning","16,788 SF",Baytown,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,16,788 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",,,8/13/2019,16905647,$0.50 SF/Mo,,Industrial,"16,788 SF","Listed rate may not include certain utilities, building services and property expenses",,1 Space,TX,For Lease,Industrial,"[('Ellington Field Airport', '35 min drive', '18.8 mi'), ('William P. Hobby Airport', '41 min drive', '25.8 mi'), ('Houston George Bush Intercontinental Airport', '43 min drive', '36.4 mi'), ('Port of Houston', '32 min drive', '22.9 mi'), ('UP-LAPORTE-TX', '13 min drive', '7.8 mi')]","Gas,Water - City Water,Sewer - City Sewer,Heating - Electric"
6500 W Highway 80,,"10,250 SF",Midland,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,10,250 SF,Property Type,Industrial,Year Built,2019,Property Subtype,Warehouse",,,9/12/2019,17179978,$1.50 SF/Mo,"Constructed in 2020.  Fenced industrial complex with excellent visibility and signage on Hwy. 80.  Paved parking.  Two 14' overhead doors.  20' clear height.  Nice interior finish out includes reception, two offices, ADA restroom and coffee bar.  Stained, polished concrete floors, solid wood doors, granite counter tops.",Industrial,"5,125 SF","Lease rate does not include utilities, property expenses or building services,Space is in Excellent Condition,Partitioned Offices,Private Restrooms,Drop Ceilings,Natural Light,Includes 625 SF of dedicated office space,Central Air and Heating,Kitchen,Laboratory,Recessed Lighting","New construction located in a gated industrial development.  Key pad gate, paved parking, office space includes a coffee bar, ADA restroom, tile floors, blinds and granite counters.  Natural light and 14' OHD in shop.",1 Space,TX,For Lease,Industrial,,"Water - Well,Sewer - Septic Field,Heating - Electric"
601 McFarland St,,"229,000 SF",Houston,"Rental Rate,$1.00 - $2.00 /SF/YR,Property Subtype,Warehouse,Total Space Available,94,600 SF,Rentable Building Area,229,000 SF,Max. Contiguous,34,000 SF,Year Built,1950,Property Type,Industrial",,,10/9/2019,17409184,$0.08 - $0.17 SF/Mo,"Multiple access points into facility
Excellent Ingress & Egress off McFarland & Navigation
Operational Cranes 
Near Houston Ship Channel 
Surrounded by Major Industrial Operators",Industrial,"11,200 - 94,600 SF","Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Can be combined with additional space(s) for up to 34,000 SF of adjacent space,Lease rate does not include utilities, property expenses or building services,Can be combined with additional space(s) for up to 34,000 SF of adjacent space,Lease rate does not include utilities, property expenses or building services","• “Shell Space”
• Two Overhead doors 
• Drive Thru capability,• ±6,000 SF of office
• Four (4) electric OHD
• Cranes: 
- Two (2) 1-ton JIB
- One (1) 1/2-ton JIB,• ±1,700 SF of office
• Cranes:
- One (1) 5-ton (18’ at hook)
- One (1) 1-ton JIB
- One (1) 2-ton JIB,• BTS office negotiable
• Overhead doors (26’ x 10’)
• 3 phase power
• Crane: 
- Two (2) 10-ton (19.5’ at hook)",4 Spaces,TX,For Lease,Industrial,,
15820-15828 Lorenzo,Fenced Lot,"10,000 SF",Channelview,"Rental Rate,$9.60 /SF/YR,Rentable Building Area,10,000 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",,,3/17/2020,17660687,$0.80 SF/Mo,,Industrial,"1,250 SF","Listed rate may not include certain utilities, building services and property expenses",,1 Space,TX,For Lease,Industrial,"[('Ellington Field Airport', '30 min drive', '16.2 mi'), ('William P. Hobby Airport', '35 min drive', '22.6 mi'), ('Houston George Bush Intercontinental Airport', '30 min drive', '25.0 mi'), ('Port of Houston', '20 min drive', '12.5 mi'), ('HOUSTON FUEL OIL TERMINAL CO.-HOUSTON-TX', '9 min drive', '2.9 mi')]",
9144 Spring Branch Dr,Air Conditioning,"49,050 SF",Houston,"Rental Rate,$10.20 /SF/YR,Rentable Building Area,49,050 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",,,11/25/2019,17812120,$0.85 SF/Mo,,Industrial,"1,625 SF","Listed rate may not include certain utilities, building services and property expenses,Brick Veneer Construction,1 Drive In Bay,Beautifully Landscaped","1,625 SF of off total space with 618 sf of office included. 
14 foot roll up doors",1 Space,TX,For Lease,Industrial,"[('William P. Hobby Airport', '39 min drive', '24.1 mi'), ('Houston George Bush Intercontinental Airport', '35 min drive', '25.1 mi'), ('Ellington Field Airport', '53 min drive', '34.0 mi'), ('Port of Houston', '31 min drive', '20.5 mi'), ('INTERCONTINENTAL TERMINALS CO.-HOUSTON-TX', '14 min drive', '7.3 mi')]","Gas,Water - City Water,Sewer - City Sewer,Heating - Electric"
4304 N Beltwood Pky,"24 Hour Access,Air Conditioning","16,159 SF",Farmers Branch,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,16,159 SF,Property Type,Industrial,Year Built,1973,Property Subtype,Warehouse",,,12/17/2019,17986367,$0.54 SF/Mo,,Industrial,"16,159 SF","Lease rate does not include utilities, property expenses or building services,Space is in Excellent Condition,Includes 4,000 SF of dedicated office space,2 Loading Docks",,1 Space,TX,For Lease,Industrial,"[('Dallas Love Field Airport', '21 min drive', '9.6 mi'), ('Dallas/Fort Worth International Airport', '27 min drive', '18.7 mi'), ('Port of Shreveport', '224 min drive', '204.9 mi'), ('COMMERCIAL WAREHOUSES, INC.-CARROLLTON-TX', '12 min drive', '5.0 mi')]",
4180 W IH 20,,"10,000 SF",Weatherford,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,10,000 SF,Property Type,Industrial,Year Built,2001,Property Subtype,Warehouse",,,12/19/2019,18002083,$0.75 SF/Mo,"10,000 Sqft Building with roughly 8,000 Sqft Warehouse space and roughly 2,000 Sqft Office space with Highway frontage! Air Conditioned throughout, plus a “Big Ass” fan in Warehouse space. Warehouse is on separate heat and air from office. 3 - 14’ Roll up doors. 3 phase Electric. Some yard space on site, with extra yard space available. No known restrictions. Contact agent for showing.",Industrial,"10,000 SF","Listed lease rate plus proportional share of utilities,Includes 2,000 SF of dedicated office space",,1 Space,TX,For Lease,Industrial,"[('Port of Shreveport', '287 min drive', '263.6 mi'), ('AMSCO STEEL TRANSPORTATION COMPANY-FT. WORTH-TX', '46 min drive', '35.9 mi')]","Water - Well,Sewer - Septic Field"
1207 Price Plaza Dr,,"8,000 SF",Katy,"Rental Rate,$12.60 /SF/YR,Rentable Building Area,8,000 SF,Property Type,Industrial,Year Built,2006,Property Subtype,Warehouse",,,1/13/2020,18171657,$1.05 SF/Mo,8000 sq ft. Several offices inside as well as warehouse space.,Industrial,"8,000 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,TX,For Lease,Industrial,"[('William P. Hobby Airport', '53 min drive', '35.8 mi'), ('Houston George Bush Intercontinental Airport', '46 min drive', '37.0 mi'), ('Port of Houston', '45 min drive', '32.1 mi'), ('TENCON INDUSTRIES, INC.-HOUSTON-TX', '34 min drive', '25.3 mi')]",
