address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
1228 Cornerway Blvd,,"180,000 SF",San Antonio,"Property Type,Industrial,Year Built,2006,Property Subtype,Warehouse,Cross Streets,Dietrich,Rentable Building Area,180,000 SF",,,6/18/2018,14909413,Rent Upon Request,,Industrial,"180,000 SF","Includes 7,443 SF of dedicated office space",,1 Space,TX,For Lease,Industrial,"[('San Antonio International Airport', '17 min drive', '12.3 mi'), ('Calhoun Port', '193 min drive', '152.9 mi'), ('FIESTA WAREHOUSING AND DISTRIBUTION COMPANY-SAN AN', '9 min drive', '3.4 mi')]",
431 Isom Rd,Signage,"48,620 SF",San Antonio,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,48,620 SF,Property Type,Flex,Year Built,1975,Building Class,C",,,7/3/2019,6807274,$0.75 SF/Mo,"North Plaza Business Park consists of 2 buildings and is approximately 91,900 SF of industrial and flex space. The buildings sit on 5.21 acres and features 36 drive-ins, concrete parking, and has 12’-14’ ceiling heights. The property is conveniently located near U.S. Hwy 281 and is within minutes to Loop 410 and the San Antonio International Airport.
Property managed by Valcor",Flex,"7,650 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,TX,For Lease,Flex,"[('San Antonio International Airport', '4 min drive', '1.6 mi')]",
431 Isom Rd,"Bus Line,Signage","46,070 SF",San Antonio,"Rental Rate,$9.00 /SF/YR,Building Class,B,Property Type,Flex,Rentable Building Area,46,070 SF,Property Subtype,Light Distribution,Industrial Distribution,Year Built,1975",,,3/6/2020,6807279,$0.75 SF/Mo,,Flex,"1,905 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,TX,For Lease,Flex,"[('San Antonio International Airport', '4 min drive', '1.6 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
5005 West Ave,"Bus Line,Fenced Lot,Signage","107,665 SF",San Antonio,"Rental Rate,$4.80 - $6.50 /SF/YR,Rentable Building Area,107,665 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Manufacturing","BLD 1,BLD 2,BLD 3,10,000 SF Available with 400 SF Office and  1 Dock Door & 1 Drive-in Door / 18' Clear Ht / 480 v Power,16,819 SF Commissary with Cooler/Freezer & Accessible to Dock High and Drive-in Loading,22,000 SF Sprinklered Warehouse with 480v Power (7000 SF Mezzanine) and 4 Grade Level Doors with access to 3 Dock Loading Doors",,9/23/2019,17273072,$0.40 - $0.54 SF/Mo,,Industrial,"16,819 - 77,638 SF","Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services","BUILDING 1
10,000 SF Available with 400 SF Office
1 Dock Door & 1 Drive-in Door / 18' Clear Ht / 480 v Power

BUILDING 2
16,819 SF Commissary with Cooler/Freezer & Accessible to Dock High and Drive-in Loading

Building 3
22,000 SF Sprinklered Warehouse with 480v Power (7000 SF Mezzanine)
4 Grade Level Doors with access to 3 Dock Loading Doors,BUILDING 1
10,000 SF Available with 400 SF Office
1 Dock Door & 1 Drive-in Door / 18' Clear Ht / 480 v Power

BUILDING 2
16,819 SF Commissary with Cooler/Freezer & Accessible to Dock High and Drive-in Loading

Building 3
22,000 SF Sprinklered Warehouse with 480v Power (7000 SF Mezzanine)
4 Grade Level Doors with access to 3 Dock Loading Doors,BUILDING 1
10,000 SF Available with 400 SF Office
1 Dock Door & 1 Drive-in Door / 18' Clear Ht / 480 v Power

BUILDING 2
16,819 SF Commissary with Cooler/Freezer & Accessible to Dock High and Drive-in Loading

Building 3
22,000 SF Sprinklered Warehouse with 480v Power (7000 SF Mezzanine)
4 Grade Level Doors with access to 3 Dock Loading Doors",3 Spaces,TX,For Lease,Industrial,"[('San Antonio International Airport', '6 min drive', '3.7 mi'), ('Calhoun Port', '201 min drive', '159.6 mi'), ('UP-SAN ANTONIO-TX-1205 SHERM', '14 min drive', '9.2 mi')]","Lighting,Heating"
5727 Mobud St,,"7,360 SF",San Antonio,"Property Type,Industrial,Rentable Building Area,7,360 SF,Property Subtype,Warehouse,Year Built,1968",,,12/9/2019,17918997,Rent Upon Request,,Industrial,"5,350 SF",,,1 Space,TX,For Lease,Industrial,"[('San Antonio International Airport', '13 min drive', '8.9 mi'), ('Calhoun Port', '204 min drive', '160.7 mi'), ('UP-SAN ANTONIO-TX-1711 QUANT', '19 min drive', '10.1 mi')]",
1454 Gardina St,"Bus Line,Fenced Lot","5,873 SF",San Antonio,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,5,873 SF,Property Type,Industrial,Year Built,1959,Property Subtype,Warehouse",,,10/31/2016,9339693,$0.75 SF/Mo,"Located with access from Fredericksburg road and Gardina, this space is ideally situated to support business flow.  Property comes with gated yard, multiple overhead grade level doors, and piped for compressed air.
Building is situated south of 410 and west of I-10 with quick access to both.",Industrial,"5,873 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,TX,For Lease,Industrial,"[('San Antonio International Airport', '12 min drive', '7.3 mi'), ('Calhoun Port', '200 min drive', '158.6 mi'), ('UP-SAN ANTONIO-TX-1205 SHERM', '13 min drive', '8.2 mi')]",
9035 Aero St,"24 Hour Access,Fenced Lot,Property Manager on Site,Yard,Storage Space","27,091 SF",San Antonio,"Rental Rate,$8.59 - $8.83 /SF/YR,Rentable Building Area,27,091 SF,Property Type,Industrial,Year Built,1976,Property Subtype,Warehouse","Centrally Located,Climate Controlled,Clean and Well-maintained,Large Gated Parking Lot,Onsite Management",,12/2/2019,16232060,$0.72 - $0.74 SF/Mo,"Property consists of 4 large warehouse and flex spaces in total.  Centrally located near San Antonio International Airport, minutes from Loop 410 and Hwy 281 and abuts railroad track.  Property also includes access to large, gated parking lot. Owner and Property management is on site.",Industrial,"5,590 - 19,170 SF","Rate includes utilities, building services and property expenses,Space is in Excellent Condition,Kitchen,Secure Storage,Large, Open space,Temperature Controlled Office Inside,Includes Use of Large, Gates Parking Lot,1 Drive In Bay,Central Air Conditioning,Private Restrooms,Natural Light,20 Ft Garage Door,Built in Restroom and Kisten,Centrally Located,Rate includes utilities, building services and property expenses,Central Air Conditioning,Private Restrooms,2 story office space,Use of Large, Gated parking lot,1 Loading Dock,Reception Area,Secure Storage,7,759 SF + of climate controlled warehouse space","Large, Open warehouse with a temperature controlled office inside. The office includes two restrooms, a kitchen area, and one private office. 20 ft garage door. Ideal for additional storage or a gym.,13,580 SF total space available with 5,821 SF office space.  Large Warehouse space, Central Location, and large gated parking area would be ideal for a last mile distribution facility or ambulance service.  2 story office space built out, 2nd story could be opened up for additional warehouse space.",2 Spaces,TX,For Lease,"Flex, Industrial","[('San Antonio International Airport', '3 min drive', '1.3 mi'), ('Calhoun Port', '199 min drive', '159.7 mi'), ('FITE DISTRIBUTION SERVICES COMPANY-SAN ANTONIO-TX', '16 min drive', '11.2 mi')]",
5100 Commerce Pky,"Bus Line,Fenced Lot,Signage","120,000 SF",San Antonio,"Property Type,Industrial,Rentable Building Area,120,000 SF,Property Subtype,Distribution,Year Built,1980","20'-22' clear height,1 ramp door,sprinkler system,37 dock high doors,rail access doors",,10/31/2016,6612846,Rent Upon Request,"Great NE facility with I-1 zoning encompassing 114,000 SF total, 300 SF of which is finished office.
Located in Rittiman Industrial area with good access to IH-35 N & Loop 410.",Industrial,"30,000 SF","Includes 300 SF of dedicated office space,33 Loading Docks,1 Drive In Bay","Large private truck-court with excellent dock
access",1 Space,TX,For Lease,Industrial,"[('San Antonio International Airport', '14 min drive', '9.2 mi'), ('Calhoun Port', '195 min drive', '155.8 mi'), ('FITE DISTRIBUTION SERVICES COMPANY-SAN ANTONIO-TX', '8 min drive', '4.0 mi')]",
11218-11222 Disco,"Fenced Lot,Signage","10,788 SF",San Antonio,"Rental Rate,$8.40 - $9.00 /SF/YR,Rentable Building Area,10,788 SF,Property Type,Industrial,Year Built,1986,Property Subtype,Warehouse",Air conditioned warehouse.  2 oversized grade level doors.,,5/29/2019,9420015,$0.70 - $0.75 SF/Mo,"Rate is $0.70 PSF plus CAM.  Flex space; Entry, reception, 2 restrooms, break room, 2 private offices, 1 bullpen, AC warehouse, 2 grade level doors, large work area, upstairs storage area, ample parking
Near Jones Maltsberger; north of San Antonio International Airport; near Hwy 281 and minutes from Loop 410 and Wurzbach Pkwy.",Industrial,"1,850 - 5,394 SF","Listed rate may not include certain utilities, building services and property expenses,2 Drive Ins,Listed rate may not include certain utilities, building services and property expenses,2 Drive Ins",,2 Spaces,TX,For Lease,Industrial,"[('San Antonio International Airport', '7 min drive', '3.5 mi'), ('Calhoun Port', '202 min drive', '162.4 mi'), ('FITE DISTRIBUTION SERVICES COMPANY-SAN ANTONIO-TX', '19 min drive', '12.5 mi')]",
903 E Nakoma St,"24 Hour Access,Signage","14,656 SF",San Antonio,"Rental Rate,$13.80 /SF/YR,Rentable Building Area,14,656 SF,Property Type,Industrial,Year Built,1997,Property Subtype,Warehouse,Cross Streets,E Coker LN",Visibility to Nakoma just off Hwy 281,,6/25/2019,9430988,$1.15 SF/Mo,"Half office and half warehouse space; 1 roll up grade level door (front loaded).
High visibility. Near Jones Maltsberger and San Antonio Airport. Near Highway 281 and minutes from Loop 410 and Wurzbach Parkway.",Industrial,"1,330 - 3,325 SF","Listed rate may not include certain utilities, building services and property expenses,Includes 665 SF of dedicated office space,Listed rate may not include certain utilities, building services and property expenses","$1,750/Month PLUS CAM** 100% air conditioned.  Half office and half warehouse space; 1 roll up grade level door (front loaded).
High visibility. Near Jones Maltsberger and San Antonio Airport. Near Highway 281 and minutes from Loop 410 and Wurzbach Parkway.",2 Spaces,TX,For Lease,Industrial,"[('San Antonio International Airport', '5 min drive', '2.9 mi'), ('Calhoun Port', '201 min drive', '161.7 mi'), ('FITE DISTRIBUTION SERVICES COMPANY-SAN ANTONIO-TX', '19 min drive', '13.1 mi')]",
