address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
6520-6532 Edenvale Blvd,"Bus Line,Signage","53,800 SF",Eden Prairie,"Rental Rate,$4.00 - $14.00 /SF/YR,Property Subtype,Service,Industrial Warehouse,Office Building,Min. Divisible,1,000 SF,Rentable Building Area,53,800 SF,Property Type,Industrial,Year Built,1987",,,10/4/2019,4107003,$0.33 - $1.17 SF/Mo,"Eden Prairie office space warehouse space property, featuring central location, exterior signage, flexible space, and more! If you need Eden Prairie office space warehouse space we can help you. We offer rent of lease options short-term and long-term leasing is available.
~ FREE EXECUTIVE CONFERENCE ROOM AVAILABLE - UNLIMITED USE!
~ CONVENIENTLY LOCATED AT 494 & 62 IN EDEN PRAIRIE
~ THE BUILDING IS A MIX OF OFFICE AND WAREHOUSE",Industrial,"1,000 - 23,569 SF","Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Rate includes utilities, building services and property expenses,Fits 6 - 18 People,Rate includes utilities, building services and property expenses,Fits 6 - 20 People,Rate includes utilities, building services and property expenses,Fits 3 - 9 People,Rate includes utilities, building services and property expenses,Fits 4 - 12 People,Rate includes utilities, building services and property expenses,Fits 3 - 9 People,Rate includes utilities, building services and property expenses,Fits 4 - 11 People,Rate includes utilities, building services and property expenses,Fits 3 - 32 People",,9 Spaces,MN,For Lease,"Office, Industrial","[('Minneapolis–Saint Paul International Airport', '22 min drive', '14.5 mi'), ('Port of Shreveport', '1,163 min drive', '991.6 mi'), ('Rahr Malting Co.', '21 min drive', '10.9 mi')]",
13750 Sherwood St,Fenced Lot,"22,730 SF",Detroit,"Rental Rate,$3.80 /SF/YR,Rentable Building Area,22,730 SF,Property Type,Industrial,Year Built,1949,Property Subtype,Warehouse",,,6/28/2017,7879223,$0.32 SF/Mo,Industrial space,Industrial,"22,730 SF","New space, never previously occupied,4 Drive Ins,Lease rate does not include utilities, property expenses or building services","This free-standing industrial building is ideal for manufacturing, distribution, warehousing and truck terminals.  Approximately 22,730 +/- SF on 2.78 AC. This property has 360 feet of frontage on the West Side of Sherwood Street.",1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '5 min drive', '1.6 mi'), ('Detroit Metropolitan Airport', '42 min drive', '27.2 mi'), ('Port of Baltimore', '601 min drive', '534.1 mi'), ('Progressive Distribution Center', '6 min drive', '2.2 mi')]",Heating - Gas
2904 Bond St,"Raised Floor,Signage,Air Conditioning","23,625 SF",Rochester Hills,"Rental Rate,$6.75 /SF/YR,Rentable Building Area,23,625 SF,Property Type,Industrial,Year Built,1986,Property Subtype,Warehouse",,,11/9/2017,9926246,$0.56 SF/Mo,,Industrial,"23,625 SF","Lease rate does not include utilities, property expenses or building services,Includes 6,500 SF of dedicated office space","Newly renovated. Shop area includes 2,065 sf. of air conditioned space (which could be easily converted to office area).
Computer room with raised floor with special air conditioning and electrical service. Quick access to M-59 freeway at both Adams and
Crooks Roads. (1) 5-ton crane. Shop Dimensions: 105 x 114.",1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '34 min drive', '23.7 mi'), ('Port of Baltimore', '619 min drive', '551.6 mi'), ('Total Foods Corporation', '27 min drive', '15.8 mi')]","Lighting - Metal Halide,Heating - Gas"
35957 Mound Rd,Signage,"10,600 SF",Sterling Heights,"Rental Rate,$9.60 /SF/YR,Rentable Building Area,10,600 SF,Property Type,Industrial,Year Built,2001,Property Subtype,Warehouse",,,3/19/2019,14332620,$0.80 SF/Mo,"Excellent location, easy access to freeways
Overhead Door, Monument Signage",Industrial,"3,500 SF","Lease rate does not include utilities, property expenses or building services","Excellent Location, Overhead Door, Monument Signage",1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '23 min drive', '11.7 mi'), ('Detroit Metropolitan Airport', '55 min drive', '38.8 mi'), ('Port of Baltimore', '614 min drive', '545.9 mi'), ('SUPERIOR PRODUCT TRANSFER SOLUTIONS', '18 min drive', '9.4 mi')]","Lighting,Gas,Water,Sewer,Heating"
1950 W Fort St,Floor Drains,"30,000 SF",Detroit,"Rental Rate,$5.25 /SF/YR,Rentable Building Area,30,000 SF,Property Type,Industrial,Year Built/Renovated,1920/1975,Property Subtype,Warehouse",,,5/29/2018,12698542,$0.44 SF/Mo,,Industrial,"30,000 SF","Lease rate does not include utilities, property expenses or building services","- 38,000 Square Feet
- Two (2) Interior Truckwells
- Four (4) Bay Doors
- 14’ Clear Ceiling Height
- Offices
- Lunch Room
- Three (3) Restrooms
- Small mezzanine office",1 Space,MI,For Lease,Industrial,"[('Joe Louis Arena Transit Stop', '(Detroit People Mover)', '18 min walk'), ('0.9 mi', 'Detroit City Airport', '18 min drive'), ('8.8 mi', 'Detroit Metropolitan Airport', '31 min drive'), ('20.8 mi', 'Port of Baltimore', '587 min drive'), ('524.8 mi', 'TRANSFLO-DETROIT-MI', '1 min drive'), ('0.2 mi',)]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Electric"
56495 Grand River Ave,Fenced Lot,"19,800 SF",New Hudson,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,19,800 SF,Property Type,Industrial,Year Built,1948,Property Subtype,Warehouse",,,3/7/2019,15382553,$1.17 SF/Mo,"Creative Office and Production/Warehouse space in Downtown New Hudson. Built in the 1940's with structural steel will create a get work setting. This building has many potential uses.  It is fully equipped with two commercial kitchens office areas and cafeteria dining room area. Large warehouse space with multiple bays to drive trucks in and out of. The space available is 12,900 sf  consisting of 3960 sf of office and 8640 sf of warehouse space.
Grand River, east of Milford Road",Industrial,"12,600 SF","Lease rate does not include utilities, property expenses or building services,Laboratory",,1 Space,MI,For Lease,Industrial,"[('Detroit Metropolitan Airport', '42 min drive', '35.0 mi'), ('Port of Baltimore', '605 min drive', '542.8 mi'), ('TRANSFLO-WIXON-MI', '9 min drive', '5.5 mi')]",
46001 Five Mile Rd,"Buss Ducts,Security System,Signage,Air Conditioning","23,471 SF",Plymouth,"Rental Rate,$6.95 /SF/YR,Rentable Building Area,23,471 SF,Property Type,Industrial,Year Built,1983,Property Subtype,Warehouse",Great Showroom Facility With Main Road Frontage,,8/1/2019,16785570,$0.58 SF/Mo,,Industrial,"23,471 SF","Rate includes utilities, building services and property expenses,Central Air Conditioning,Includes 5,147 SF of dedicated office space","Great Showroom Facility With Main Road Frontage
Office: 5,147.5 SF
Lab/Showroom: 5,164.5 SF",1 Space,MI,For Lease,Flex,"[('Detroit Metropolitan Airport', '29 min drive', '22.3 mi'), ('Detroit City Airport', '41 min drive', '27.7 mi'), ('Port of Baltimore', '592 min drive', '530.1 mi'), ('TRANSFLO-WIXON-MI', '18 min drive', '10.0 mi')]","Lighting - Metal Halide,Heating - Gas"
8000-8070 Kensington Ct,,"22,400 SF",Brighton,"Rental Rate,$9.75 /SF/YR,Rentable Building Area,22,400 SF,Property Type,Industrial,Year Built,2000,Property Subtype,Warehouse",,,10/3/2019,17349156,$0.81 SF/Mo,,Industrial,"2,837 SF","Listed rate may not include certain utilities, building services and property expenses",12'x14' warehouse door. Mezzanine above office. One mile from I-96 @ Kensington Road interchange. Move-in condition. 3 phase electrical service.,1 Space,MI,For Lease,Industrial,,"Lighting - Sodium,Heating"
996-1000 E Mandoline Ave,Signage,"11,848 SF",Madison Heights,"Rental Rate,$7.95 /SF/YR,Rentable Building Area,11,848 SF,Property Type,Industrial,Year Built/Renovated,1980/2003,Property Subtype,Warehouse,Cross Streets,Milton",,,6/12/2019,16324199,$0.66 SF/Mo,,Industrial,"9,286 SF","Lease rate does not include utilities, property expenses or building services,Includes 4,200 SF of dedicated office space",,1 Space,MI,For Lease,Industrial,"[('Detroit City Airport', '25 min drive', '14.8 mi'), ('Detroit Metropolitan Airport', '50 min drive', '35.6 mi'), ('Port of Baltimore', '609 min drive', '542.7 mi'), ('BNSF-DETROIT-MI', '15 min drive', '9.1 mi')]",Heating
35400 Plymouth Rd,Air Conditioning,"22,800 SF",Livonia,"Rental Rate,$11.42 /SF/YR,Rentable Building Area,22,800 SF,Property Type,Industrial,Year Built,1988,Property Subtype,Warehouse",,,11/19/2019,17760680,$0.95 SF/Mo,,Industrial,"3,100 SF","Rate includes utilities, building services and property expenses,Includes 2,600 SF of dedicated office space","Main road exposure for showroom/office. Please note: the lease rate is gross and includes real estate taxes, building insurance, and all utilities. Tenant is responsible for landscape and snowplow.",1 Space,MI,For Lease,Industrial,"[('Detroit Metropolitan Airport', '26 min drive', '19.1 mi'), ('Detroit City Airport', '34 min drive', '21.5 mi'), ('Port of Baltimore', '589 min drive', '526.9 mi'), ('Wayne Industries, Incorporated', '15 min drive', '7.3 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
