address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
901 Lambson Ln,,"40,000 SF",New Castle,"Property Type,Industrial,Rentable Building Area,40,000 SF,Property Subtype,Warehouse,Year Built,1970",Dry sprinklers,,6/15/2016,19102157,Rent Upon Request,"40,000 SF 
40' X 40' column spacing
26' clear ceiling height
Seven 10' X 10' loading docks and one 16' X 10' drive-in door
Rail loading
Zoned Industrial
200 AMP, 208/120 volt, 3-phase
Building C",Industrial,"40,000 SF",,,1 Space,DE,For Lease,Industrial,"[('New Castle County Airport', '15 min drive', '6.3 mi'), ('Philadelphia International Airport', '33 min drive', '22.6 mi'), ('Port of Wilmington, RI', '6 min drive', '1.8 mi'), ('Diamond State Terminal', '3 min drive', '0.6 mi')]","Water,Sewer,Heating"
35 Salem Church Rd,Signage,"30,000 SF",Newark,"Property Type,Industrial,Rentable Building Area,30,000 SF,Property Subtype,Warehouse,Industrial Distribution,OfficeLoft Creative Space,Year Built,1974",,,11/13/2019,4101053,Rent Upon Request,"Excellent visibility from Salem Church Rd, this business park has over 80 units, ranging in size from 100sf - 5,000sf.  Types of units include:  small individual office space, storage garages, flex warehouse space w/ bathroom and office, drive through warehouse units, etc.  Available lay down space for lease as well.  
SCR Business Park is centrally located near the intersection of Rt 273 and Rt 4 and is less than 1.5 miles from I-95.",Industrial,"110 - 2,125 SF","Fits 3 - 8 People,1 Private Office,Fits 1 Person,1 Drive In Bay,1 Drive In Bay,1 Drive In Bay","small storage garage with electricity.  Overhead door is 10' x 10'.  Rent is $300/month plus electric.,Finished office space w/ one private office, bathroom and open conference/bullpen area.  $1100/month plus utilities.,Single private office in the business park with shared entrance and common bathrooms.  Rent is $375/month and includes all utilities.,Single bay storage garage 12' x 20' w/ electric.  $250/month.,two bay storage garage 24' x 18'  $500/month plus electric.,215 SF storage garage 12' x 18' 
$300/month plus electric",6 Spaces,DE,For Lease,"Office, Industrial","[('New Castle County Airport', '12 min drive', '6.4 mi'), ('Philadelphia International Airport', '42 min drive', '31.2 mi'), ('Port of Wilmington, RI', '16 min drive', '10.9 mi'), ('D & S Warehousing & Packaging', '4 min drive', '1.9 mi')]",
22 Parkway Cir,,"20,000 SF",New Castle,"Property Type,Industrial,Rentable Building Area,20,000 SF,Property Subtype,Warehouse,Year Built,1987",,,2/13/2019,8358297,Rent Upon Request,"Wide open flex unit. This space features a gas-fired suspended heater, 10'x10' roll up door, and a bathroom.
Turn into Churchmans Center at the light at 273 and Churchmans Rd, right on Parkway Circle, building 22 is in between the Del Tech Innovation & Technology center and building 22.",Industrial,"4,000 SF",,,1 Space,DE,For Lease,Industrial,"[('New Castle County Airport', '8 min drive', '3.1 mi'), ('Philadelphia International Airport', '40 min drive', '27.2 mi'), ('Port of Wilmington, RI', '14 min drive', '6.9 mi'), ('D & S Warehousing & Packaging', '11 min drive', '5.9 mi')]","Water - City Water,Sewer - City Sewer"
3410 Old Capitol Trl,"24 Hour Access,Bus Line,Fenced Lot,Signage,Yard,Storage Space,Air Conditioning","12,220 SF",Wilmington,"Min. Divisible,700 SF,Rentable Building Area,12,220 SF,Property Type,Industrial,Year Built,1940,Property Subtype,Warehouse,Showroom","Open floor plan.,Fluorescent lighting.,Drive in overhead door,Natural Gas forced air heat.,Acoustic ceiling",,10/15/2019,4314909,Rent Upon Request,"1560 - 9220 Sq. Ft. retail showroom / office /shop / storage
Corner of Old Captitol Trail and Newport Gap Pike approximately 1/2 mile from 
Delaware 141 & Route 2 Kirkwood Highway interchange.",Industrial,"700 - 9,260 SF",Mostly Open Floor Plan Layout,"24' wide x 65' long, open space, concrete floor, acoustic ceiling, fluorescent lighting, Natural gas forced air heat,24' wide x 65' long, open space, concrete floor, acoustic ceiling, fluorescent lighting, Natural gas forced air heat",4 Spaces,DE,For Lease,"Office, Retail",,"Gas - Natural,Sewer - County Sewer,Heating - Gas"
34 Blevins Dr,,"50,022 SF",New Castle,"Property Type,Industrial,Rentable Building Area,50,022 SF,Property Subtype,Warehouse,Year Built,1987","Great access to I 95, I 295, I 495, and Route 13.,Only minutes to Delaware Memorial Bridge and Port of Wilmington.",,10/4/2019,12997331,Rent Upon Request,"50,022 square foot warehouse located in the Airport Industrial Park.",Industrial,"7,578 SF",,,1 Space,DE,For Lease,Industrial,"[('New Castle County Airport', '10 min drive', '3.8 mi'), ('Philadelphia International Airport', '40 min drive', '27.0 mi'), ('Port of Wilmington, RI', '14 min drive', '6.7 mi'), ('Delaware Cold Storage, Incorporated', '13 min drive', '6.1 mi')]",Heating - Gas
20 Shea Way,"Floor Drains,Front Loading,Security System,Signage,Skylights,Storage Space,Fluorescent Lighting","53,125 SF",Newark,"Property Type,Industrial,Year Built,1988,Property Subtype,Warehouse,Cross Streets,Route 72,Rentable Building Area,53,125 SF","Located in tax-free Newark, DE off of Route 72 with easy access to I95,Easy access to I-95 and the tri-State area,Class “A” space, zoned I (M-2)",,10/18/2019,14617538,Rent Upon Request,"53,125 sq ft of high-tech flex space perfect for high-tech manufacturing or research and development with a fully integrated office area and showroom This high-tech flex space is perfect for light manufacturing, warehousing, distribution, office or research and development needs.
- Located in Newark, DE off of Route 72 with easy access to I95
- Class “A” space, zoned I (M-2)	
- Single story masonry & steel structure	
- 20' clearance at eaves; 1 center column	
- 6"" reinforced concrete floors	
- 4"" insulated walls and 6"" ceilings	
- Perlite insulation in block walls	
- Units/suites subdivided to 5,000 sq ft (40'x125')	
- 1 loading dock, 1 drive-in door per unit	
- Store front glass door & windows	
- Individually metered gas service	
- Dry sprinkler system monitored and inspected quarterly	
- 35 standard and 3 ADA parking spaces	
- State streets	
- County sewer	
- Wilmington Suburban Water (3 hydrants)	
- Gas heating	
- Security system ready -- activation required	
- Comcast/Verizon ready -- activation required
Thank you",Industrial,"10,000 SF","Includes 2,500 SF of dedicated office space,2 Drive Ins,Central Air and Heating,Reception Area,Private Restrooms,Drop Ceilings,Recessed Lighting,Space is in Excellent Condition,2 Loading Docks,Partitioned Offices,Kitchen,Security System,Emergency Lighting,View of woods.",Lobby is tiled. Nice kitchen/break room. Picture windows in front. Private dedicated parking. Picnic tables next to parking lot. Rent negotiable.,1 Space,DE,For Lease,Flex,"[('New Castle County Airport', '19 min drive', '9.9 mi'), ('Philadelphia International Airport', '49 min drive', '34.7 mi'), ('Port of Wilmington, RI', '23 min drive', '14.4 mi'), ('D & S Warehousing & Packaging', '11 min drive', '5.4 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
199 Moody Rd,,"53,000 SF",Enfield,"Rental Rate,$12.00 /SF/YR,Property Subtype,Warehouse,Office Building,Min. Divisible,3,000 SF,Rentable Building Area,53,000 SF,Property Type,Industrial,Year Built/Renovated,1968/1990",,,2/19/2009,4044165,$1.00 SF/Mo,"4.5 acres
2,000-6500 available.
Class A.
Ample parking.
Enfield, CT",Industrial,"3,000 - 6,000 SF","Rate includes utilities, building services and property expenses,Fits 8 - 48 People","This 6,000 square foot space in the building is specifically office space and can be subdivided to 3,000 square feet.",1 Space,CT,For Lease,Office,"[('Bradley International Airport', '27 min drive', '13.7 mi'), ('Port of Davisville, RI', '127 min drive', '83.1 mi'), ('BNSF-SPRINGFIELD-MA', '20 min drive', '11.2 mi')]","Lighting - Metal Halide,Gas,Water - City Water,Sewer - City Sewer,Heating - Gas"
100 Republic Dr,,"84,180 SF",North Haven,"Rental Rate,$7.50 /SF/YR,Rentable Building Area,84,180 SF,Property Type,Industrial,Year Built/Renovated,1968/2008,Property Subtype,Warehouse,Cross Streets,Sackett Point Rd",,,8/9/2017,4083513,$0.63 SF/Mo,"7,500 SF of industrial space available for lease.
Located in North Haven, CT with immediate access to I-91.",Industrial,"7,500 SF","Lease rate does not include utilities, property expenses or building services,2 Loading Docks",Office space built to suit.,1 Space,CT,For Lease,Industrial,"[('New Haven-State Street Station Commuter Rail (New Haven Line)', '11 min drive', '6.0 mi'), ('State Street Commuter Rail (Shore East Line)', '11 min drive', '6.0 mi'), ('Tweed-New Haven Airport', '18 min drive', '8.5 mi'), ('NY - Red Hook Container Terminal', '125 min drive', '88.6 mi'), ('TRANSFLO-NORTH HAVEN-CT', '6 min drive', '1.9 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
605 Day Hill Rd,,"30,000 SF",Windsor,"Rental Rate,$4.75 /SF/YR,Rentable Building Area,30,000 SF,Property Type,Industrial,Year Built,1979,Property Subtype,Warehouse",,,12/14/2005,4122225,$0.40 SF/Mo,"20 Drive Ins. Ideal for sales/service.
Day Hill Road, Windsor, CT
",Industrial,"30,000 SF","Lease rate does not include utilities, property expenses or building services","20 Drive Ins. Ideal for sales/service. Day Hill Road, Windsor, CT",1 Space,CT,For Lease,Industrial,"[('Bradley International Airport', '19 min drive', '8.3 mi'), ('Port of Davisville, RI', '119 min drive', '88.1 mi'), ('SOUTHSHORE ENTERPRISES, INC.-EAST HARTFORD-CT', '16 min drive', '10.5 mi')]",
130 Huntingdon Ave,"Fenced Lot,Air Conditioning","218,092 SF",Waterbury,"Rental Rate,$3.50 /SF/YR,Property Subtype,Warehouse,Industrial Manufacturing,Min. Divisible,30,000 SF,Rentable Building Area,218,092 SF,Property Type,Industrial,Year Built/Renovated,1964/1973",,,4/24/2017,4303790,$0.29 SF/Mo,"Excellent highway access, buss duct, manufacturing facility.  Property is also for sale with asking price of $1,750,000.
I-84 Route 8 North, Exit 35, Right onto Huntingdon Avenue",Industrial,"30,000 - 216,000 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,CT,For Lease,Industrial,"[('Waterbury Station Commuter Rail (New Haven Line)', '5 min drive', '2.2 mi'), ('Naugatuck Station Commuter Rail (New Haven Line)', '9 min drive', '6.5 mi'), ('Tweed-New Haven Airport', '45 min drive', '28.6 mi'), ('NY - Red Hook Container Terminal', '121 min drive', '98.1 mi'), ('Prime Source', '4 min drive', '1.9 mi')]","Lighting,Water - City Water,Sewer - City Sewer,Heating - Gas"
